project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,0,0.1766335517168045,1780202806292,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,1,0.187321126461029,1780202903435,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,2,0.2122185379266739,1780202972844,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,3,0.149897500872612,1780203043576,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,4,0.1733953356742859,1780203118454,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,5,0.1275500804185867,1780203192647,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,6,0.1190000101923942,1780203294420,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,7,0.1932744085788726,1780203376519,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,8,0.1692830473184585,1780203458331,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,9,0.192360907793045,1780203535325,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,10,0.1770409047603607,1780203609984,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,11,0.2396137565374374,1780203710906,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,12,0.1895558536052703,1780203788406,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,13,0.0968999564647674,1780203862315,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,14,0.1728740930557251,1780203936641,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,15,0.1532490104436874,1780204009636,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,16,0.1440739184617996,1780204114035,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,17,0.1244066059589386,1780204185372,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,18,0.0678327679634094,1780204261577,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,19,0.0878672301769256,1780204339628,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,20,0.0751474723219871,1780204418292,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,21,0.0618817210197448,1780204519851,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,22,0.0779148712754249,1780204595245,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,23,0.0669719502329826,1780204669820,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,24,0.0576328262686729,1780204745704,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,25,0.0628056153655052,1780204819270,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,26,0.0528189353644847,1780204921107,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,27,0.039907306432724,1780204995372,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,28,0.0467740111052989,1780205068129,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,29,0.0484233014285564,1780205144777,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,30,0.0521390624344348,1780205219117,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,31,0.0373689420521259,1780205320506,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Batch Best,Loss: Batch Best,127,32,0.0526665411889553,1780205395385,get_metrics
