project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,0,0.3782546520233154,1780202806292,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,1,0.3784794211387634,1780202903435,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,2,0.3808055520057678,1780202972845,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,3,0.367325097322464,1780203043577,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,4,0.3683934211730957,1780203118455,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,5,0.3538069128990173,1780203192647,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,6,0.348945677280426,1780203294420,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,7,0.3343294262886047,1780203376519,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,8,0.3614192008972168,1780203458331,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,9,0.3425572216510772,1780203535325,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,10,0.3398630619049072,1780203609984,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,11,0.3496516942977905,1780203710906,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,12,0.3202398717403412,1780203788406,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,13,0.3276197910308838,1780203862315,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,14,0.3175573348999023,1780203936641,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,15,0.2848368883132934,1780204009636,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,16,0.2807179093360901,1780204114036,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,17,0.254322737455368,1780204185372,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,18,0.2294799089431762,1780204261577,get_metrics
logic-circuit-ablation-full,Logic_Circuit_Ablation_Full_2026-05-31 06:45:30,f8c6ecbbaf1f46c48c032abbcc08380b,Loss: Top-K Average,Loss: Top-127 Average,127,19,0.1995633393526077,1780204339628,get_metrics
