project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,0,0.5472146272659302,1779515320528,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,1,0.6065706610679626,1779515398328,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,2,0.4984105229377746,1779515454912,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,3,0.510875403881073,1779515512135,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,4,0.513617992401123,1779515572900,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,5,0.4845893085002899,1779515632512,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,6,0.4881543815135956,1779515714778,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,7,0.4940637648105621,1779515775183,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,8,0.4689977169036865,1779515837927,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,9,0.4697126448154449,1779515898859,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,10,0.4577895104885101,1779515958993,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,11,0.4592413008213043,1779516044604,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,12,0.4586546123027801,1779516105817,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,13,0.461468905210495,1779516166395,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,14,0.4593481123447418,1779516227302,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,15,0.4572889506816864,1779516288289,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,16,0.457505464553833,1779516375065,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,17,0.4551813304424286,1779516436425,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,18,0.453024297952652,1779516497937,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,19,0.4454438686370849,1779516560288,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,20,0.441063642501831,1779516620260,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,21,0.4369103014469147,1779516705207,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,22,0.4281807839870453,1779516764801,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,23,0.4146618843078613,1779516829160,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,24,0.4006854593753814,1779516892702,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,25,0.380582720041275,1779516954195,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-23 07:47:29,23f173bf781449ce948a98753b7475ab,Loss: Top-K Average,Loss: Top-640 Average,640,26,0.3664545714855194,1779517036761,get_metrics
