project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,0,0.5276954770088196,1780202885949,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,1,0.6489847302436829,1780202982796,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,2,0.5497061610221863,1780203054261,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,3,0.5961045026779175,1780203126090,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,4,0.5315903425216675,1780203200818,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,5,0.5784383416175842,1780203269426,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,6,0.5238115191459656,1780203374505,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,7,0.4983265101909637,1780203455597,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,8,0.4877206981182098,1780203529934,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,9,0.4712930619716644,1780203604514,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,10,0.4659450650215149,1780203679096,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,11,0.4652090072631836,1780203781330,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,12,0.4585436880588531,1780203851250,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,13,0.45948526263237,1780203924331,get_metrics
logic-circuit-ablation-half-risk,Logic_Circuit_Ablation_Half_Risk_2026-05-31 06:46:43,6ac0ef6855b14f3096e770281c594f3d,Loss: Top-K Average,Loss: Top-640 Average,640,14,0.4626420140266418,1780204003818,get_metrics
