project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,0,0.2223961502313614,1779600702868,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,1,0.2105434238910675,1779600779899,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,2,0.1460562199354171,1779600836456,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,3,0.1490845084190368,1779600893484,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,4,0.2021929323673248,1779600952233,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,5,0.1471976041793823,1779601011907,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,6,0.1805495619773864,1779601097178,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,7,0.1636538505554199,1779601157318,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,8,0.1781076043844223,1779601217430,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,9,0.1281225979328155,1779601279410,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,10,0.129423975944519,1779601339683,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,11,0.1311037242412567,1779601430268,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,12,0.145232617855072,1779601492316,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,13,0.1838147044181823,1779601555009,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,14,0.1654973477125167,1779601619724,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,15,0.1749975383281707,1779601681675,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,16,0.1223853528499603,1779601767324,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,17,0.133480042219162,1779601829544,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,18,0.075424924492836,1779601893491,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,19,0.0814807340502739,1779601954642,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,20,0.0870026275515556,1779602016340,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,21,0.0701580569148063,1779602101031,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,22,0.0693785995244979,1779602161513,get_metrics
logic-circuit-ablation-no-entropy,Logic_Circuit_Ablation_No_Entropy_2026-05-24 07:30:33,ac01ea9279e74541a2281a1bac61fb81,Loss: Batch Best,Loss: Batch Best,127,23,0.0555833280086517,1779602223628,get_metrics
