project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,0,0.2223961502313614,1779486935276,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,1,0.2107541710138321,1779487014939,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,2,0.1574207693338394,1779487072104,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,3,0.1943609416484832,1779487130180,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,4,0.2452797293663025,1779487189792,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,5,0.1594193428754806,1779487250423,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,6,0.1848445236682891,1779487335700,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,7,0.2405655533075332,1779487396667,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,8,0.1933372020721435,1779487457374,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-22 23:54:22,3a00ef0c7e6e45219247b9a6f7c33e95,Loss: Batch Best,Loss: Batch Best,1280,9,0.1122155115008354,1779487520867,get_metrics
