project,experiment_name,experiment_key,metric,comet_metric,top_k,step,value,timestamp,download_source
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,0,1114.4935302734375,1779753086230,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,1,979.54833984375,1779753164647,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,2,955.4838256835938,1779753221390,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,3,913.6629028320312,1779753278381,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,4,970.0606689453124,1779753336948,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,5,1028.167236328125,1779753398310,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,6,958.9641723632812,1779753481303,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,7,1041.504638671875,1779753540977,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,8,887.7666015625,1779753602232,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,9,919.04833984375,1779753662232,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,10,830.1788940429688,1779753721654,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,11,901.0838012695312,1779753807260,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,12,876.951171875,1779753867605,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,13,795.2741088867188,1779753927998,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,14,662.0567626953125,1779753995228,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,15,467.8827209472656,1779754055558,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,16,216.2566680908203,1779754138209,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Top-K Average,Loss: Top-1280 Average,1280,17,49.00494766235352,1779754198655,get_metrics
