project,experiment_name,experiment_key,metric,step,value,timestamp,download_source
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,0,0.2223961502313614,1779865530028,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,1,0.210650622844696,1779865608231,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,2,0.145753875374794,1779865664947,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,3,0.1488856524229049,1779865722462,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,4,0.2029411196708679,1779865780846,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,5,0.1519554108381271,1779865840472,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,6,0.1822259277105331,1779865924696,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,7,0.1646598279476165,1779865984942,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,8,0.1740197241306305,1779866045557,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,9,0.2056854367256164,1779866108411,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,10,0.2062900811433792,1779866170558,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,11,0.1912116706371307,1779866256608,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,12,0.1722793132066726,1779866318202,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,13,0.1100798025727272,1779866381831,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,14,0.1619035452604293,1779866443437,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,15,0.2027909904718399,1779866504637,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,16,0.1430604457855224,1779866590220,get_metrics
logic-circuit-ablation-no-sil,Logic_Circuit_Ablation_No_SIL_2026-05-27 09:04:20,1ac37a4199914db88bfe1676cf5f8b25,Loss: Batch Best,17,0.1545720994472503,1779866658133,get_metrics
