metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Batch Best,23.591476440429688,1784888205065,0,,,-7445786820981093959
Loss: Batch Best,22.128257751464844,1784888266192,1,,,-5770465667005567591
Loss: Batch Best,29.333349227905273,1784888313088,2,,,-8527023317713667515
Loss: Batch Best,20.970203399658203,1784888359522,3,,,-6286543663448512568
Loss: Batch Best,20.956546783447266,1784888407113,4,,,-6586908556675929195
Loss: Batch Best,23.962486267089844,1784888456979,5,,,-4216051015352127007
Loss: Batch Best,29.57213020324707,1784888521366,6,,,-5530125647745619849
Loss: Batch Best,29.336463928222656,1784888571264,7,,,-2961139209129986024
Loss: Batch Best,23.901531219482422,1784888624669,8,,,-6999903671710689246
Loss: Batch Best,24.20153045654297,1784888681097,9,,,-8441700716308973067
Loss: Batch Best,23.9610538482666,1784888732005,10,,,-7029018663570129401
Loss: Batch Best,21.36797332763672,1784888803581,11,,,-8135828683365624291
Loss: Batch Best,25.593196868896484,1784888858201,12,,,-5172643769099881
Loss: Batch Best,25.199199676513672,1784888912895,13,,,-5156084313683967596
Loss: Batch Best,29.388538360595703,1784888975410,14,,,-4065720845021432
Loss: Batch Best,25.269817352294922,1784889036421,15,,,-2093784610968203677
Loss: Batch Best,23.53531837463379,1784889139464,16,,,-6032810003292909248
Loss: Batch Best,29.457590103149414,1784889247891,17,,,-2950040269850702267
Loss: Batch Best,23.530372619628906,1784889365162,18,,,-1965954252211612885
Loss: Batch Best,25.30926513671875,1784889474957,19,,,-7227375546230331348
Loss: Batch Best,30.17344856262207,1784889586732,20,,,-8650335970492686212
Loss: Batch Best,25.775110244750977,1784889728221,21,,,-8746849108732736263
Loss: Batch Best,25.60124397277832,1784889844533,22,,,-1877143156944982700
Loss: Batch Best,29.554237365722656,1784889961123,23,,,-1845669074751466963
Loss: Batch Best,25.281661987304688,1784890068096,24,,,-6649285702287409978
Loss: Batch Best,24.376861572265625,1784890178919,25,,,-4086212084762290404
Loss: Batch Best,29.57069206237793,1784890306787,26,,,-4199123688202095093
Loss: Batch Best,21.550710678100586,1784890424701,27,,,-4007782480139172382
Loss: Batch Best,24.952396392822266,1784890542879,28,,,-360778994014123388
Loss: Batch Best,29.243284225463867,1784890666818,29,,,-3408083235287579391
Loss: Batch Best,29.026906967163086,1784890815165,30,,,-351662869034792967
Loss: Batch Best,24.07684326171875,1784890999442,31,,,-7372325436525310982
Loss: Batch Best,25.283348083496094,1784891121785,32,,,-4242988955663873236
Loss: Batch Best,24.660621643066406,1784891238890,33,,,-6425709406003385449
Loss: Batch Best,24.16033363342285,1784891363050,34,,,-3650581055321658131
Loss: Batch Best,23.270036697387695,1784891486458,35,,,-1688105536849079986
Loss: Batch Best,24.10749626159668,1784891633043,36,,,-1107222409899481250
Loss: Batch Best,25.55765151977539,1784891920400,37,,,-4069880728693383039
Loss: Batch Best,24.64703941345215,1784892067331,38,,,-1071214808114133567
Loss: Batch Best,29.08419418334961,1784892200184,39,,,-6025211993990154648
Loss: Batch Best,24.461456298828125,1784892348353,40,,,-6454501129259879272
Loss: Batch Best,25.98816680908203,1784892498796,41,,,-6743530125686089816
Loss: Batch Best,24.955026626586914,1784892635378,42,,,-9000919303372347494
Loss: Batch Best,21.885873794555664,1784892773014,43,,,-8139600056324809283
Loss: Batch Best,24.38582420349121,1784892913614,44,,,-1787389505741996482
Loss: Batch Best,24.94171714782715,1784893070517,45,,,-1956371587325520973
Loss: Batch Best,25.033348083496094,1784893233418,46,,,-223394046252969775
Loss: Batch Best,25.526578903198242,1784893381821,47,,,-4255986286203533614
Loss: Batch Best,24.211688995361328,1784893517621,48,,,-8547238088494583912
Loss: Batch Best,21.959482192993164,1784893661928,49,,,-5612865703379146300
Loss: Batch Best,25.355066299438477,1784893809746,50,,,-6877514501772144564
Loss: Batch Best,23.423959732055664,1784893971445,51,,,-5829424337042955052
Loss: Batch Best,21.614633560180664,1784894122360,52,,,-448741935577311750
