metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Average,39.281009674072266,1784888205066,0,,,-848306402483313308
Loss: Top-127 Average,39.35407257080078,1784888266192,1,,,-3011383282191224603
Loss: Top-127 Average,40.359336853027344,1784888313088,2,,,-4696770358884540630
Loss: Top-127 Average,39.99666976928711,1784888359522,3,,,-2869671517070624653
Loss: Top-127 Average,40.68054962158203,1784888407113,4,,,-7393626626664134853
Loss: Top-127 Average,39.57910919189453,1784888456979,5,,,-5464821475242103363
Loss: Top-127 Average,39.7342529296875,1784888521366,6,,,-2664808019699144745
Loss: Top-127 Average,39.345489501953125,1784888571264,7,,,-3280341614099606010
Loss: Top-127 Average,38.43048095703125,1784888624669,8,,,-791969852888686313
Loss: Top-127 Average,38.527381896972656,1784888681097,9,,,-2306017391340950730
Loss: Top-127 Average,39.44614028930664,1784888732005,10,,,-5230522299680348918
Loss: Top-127 Average,38.21113204956055,1784888803581,11,,,-4403097934235963079
Loss: Top-127 Average,38.88936996459961,1784888858201,12,,,-53251092185620026
Loss: Top-127 Average,38.922176361083984,1784888912895,13,,,-7864011534239695610
Loss: Top-127 Average,38.77801513671875,1784888975410,14,,,-7443310986411647150
Loss: Top-127 Average,39.97919845581055,1784889036421,15,,,-8947948672860514202
Loss: Top-127 Average,37.72879409790039,1784889139464,16,,,-4359715648774329654
Loss: Top-127 Average,37.6625862121582,1784889247891,17,,,-6126005235676385792
Loss: Top-127 Average,36.24934005737305,1784889365162,18,,,-8657933156509424935
Loss: Top-127 Average,36.62137985229492,1784889474957,19,,,-340587939192615740
Loss: Top-127 Average,36.86316680908203,1784889586732,20,,,-5972956748590904096
Loss: Top-127 Average,36.70539474487305,1784889728221,21,,,-2379449640163128250
Loss: Top-127 Average,36.41786193847656,1784889844533,22,,,-4065263693678108622
Loss: Top-127 Average,37.06346130371094,1784889961123,23,,,-5799185525905497244
Loss: Top-127 Average,37.406097412109375,1784890068096,24,,,-6801699307936129624
Loss: Top-127 Average,37.24862289428711,1784890178919,25,,,-8662533406913047436
Loss: Top-127 Average,37.52457046508789,1784890306787,26,,,-3326725860316640752
Loss: Top-127 Average,35.89396667480469,1784890424701,27,,,-2724696671356631926
Loss: Top-127 Average,35.91789245605469,1784890542879,28,,,-64859942516295973
Loss: Top-127 Average,35.812713623046875,1784890666818,29,,,-7668682558954544754
Loss: Top-127 Average,36.57292175292969,1784890815165,30,,,-4846413662420481213
Loss: Top-127 Average,34.98007583618164,1784890999442,31,,,-3790689518513914192
Loss: Top-127 Average,36.2044563293457,1784891121785,32,,,-70176980368893585
Loss: Top-127 Average,35.9700813293457,1784891238890,33,,,-3337652676341157035
Loss: Top-127 Average,36.494056701660156,1784891363050,34,,,-8542580854423177834
Loss: Top-127 Average,36.63470458984375,1784891486458,35,,,-4790546620476569957
Loss: Top-127 Average,35.50469970703125,1784891633043,36,,,-493687933339033208
Loss: Top-127 Average,35.923828125,1784891920400,37,,,-2493513856443986198
Loss: Top-127 Average,35.53654479980469,1784892067331,38,,,-7343298984829934666
Loss: Top-127 Average,36.37767028808594,1784892200184,39,,,-4831779143284706684
Loss: Top-127 Average,35.796051025390625,1784892348353,40,,,-4498583344348308832
Loss: Top-127 Average,36.057151794433594,1784892498796,41,,,-5673186626333693580
Loss: Top-127 Average,35.82487106323242,1784892635379,42,,,-5436362005440613802
Loss: Top-127 Average,35.580055236816406,1784892773015,43,,,-3692805392985588715
Loss: Top-127 Average,35.58522415161133,1784892913614,44,,,-3786541297637188736
Loss: Top-127 Average,35.06076431274414,1784893070517,45,,,-4022813332082167842
Loss: Top-127 Average,35.3279914855957,1784893233418,46,,,-6635993108922124710
Loss: Top-127 Average,35.60353469848633,1784893381821,47,,,-6068704830654030139
Loss: Top-127 Average,35.823978424072266,1784893517621,48,,,-4776904887656319849
Loss: Top-127 Average,34.64523696899414,1784893661928,49,,,-4002930101007268286
Loss: Top-127 Average,35.69540786743164,1784893809746,50,,,-443102825794210274
Loss: Top-127 Average,35.11280059814453,1784893971445,51,,,-7373612660869935570
Loss: Top-127 Average,35.529273986816406,1784894122360,52,,,-8125557504962460163
Loss: Top-127 Average,35.16678237915039,1784894271941,53,,,-6760220712897414023
Loss: Top-127 Average,35.480567932128906,1784894433934,54,,,-7752469785778279147
Loss: Top-127 Average,36.31840896606445,1784894580844,55,,,-5687115054295460405
Loss: Top-127 Average,35.262001037597656,1784894753868,56,,,-8055222039231603614
Loss: Top-127 Average,33.959861755371094,1784894919938,57,,,-8664703603522030304
Loss: Top-127 Average,35.225799560546875,1784895073264,58,,,-3648272657314120302
Loss: Top-127 Average,35.663978576660156,1784895224425,59,,,-934871418921294538
Loss: Top-127 Average,35.153411865234375,1784895372362,60,,,-3985691305656895906
Loss: Top-127 Average,35.64711380004883,1784895539186,61,,,-8959089300804910248
Loss: Top-127 Average,35.95991134643555,1784895695205,62,,,-5818624456151639964
Loss: Top-127 Average,34.45893859863281,1784895857537,63,,,-3814056796201954944
Loss: Top-127 Average,35.51801681518555,1784896015143,64,,,-5622397748863469975
Loss: Top-127 Average,35.562339782714844,1784896166525,65,,,-3975353223464223390
Loss: Top-127 Average,35.5229377746582,1784896347218,66,,,-4581008125802514099
Loss: Top-127 Average,35.09144973754883,1784896501188,67,,,-2627702980700346950
Loss: Top-127 Average,35.414058685302734,1784896662320,68,,,-3564894872276792531
Loss: Top-127 Average,35.50477600097656,1784896820000,69,,,-3299925620264080421
Loss: Top-127 Average,35.262638092041016,1784896958813,70,,,-5894352033499003675
Loss: Top-127 Average,35.06122970581055,1784897113284,71,,,-3832023410231639281
Loss: Top-127 Average,35.34848403930664,1784897264299,72,,,-9071630762748338600
Loss: Top-127 Average,35.043800354003906,1784897412979,73,,,-6179500314853668377
Loss: Top-127 Average,34.53997802734375,1784897572779,74,,,-6693901787089705203
Loss: Top-127 Average,34.600738525390625,1784897741777,75,,,-5312720016290061305
