metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Worst,46.41345977783203,1784888205066,0,,,-3899670369444628863
Loss: Top-127 Worst,46.68506622314453,1784888266192,1,,,-4389828929192046977
Loss: Top-127 Worst,48.75,1784888313088,2,,,-2142202271885797218
Loss: Top-127 Worst,47.05632019042969,1784888359522,3,,,-2614901603501092758
Loss: Top-127 Worst,46.28524398803711,1784888407113,4,,,-3933712655673330700
Loss: Top-127 Worst,46.157142639160156,1784888456979,5,,,-5192622431623038620
Loss: Top-127 Worst,45.83638000488281,1784888521366,6,,,-5484801033552652032
Loss: Top-127 Worst,45.26399230957031,1784888571264,7,,,-7540398354509188063
Loss: Top-127 Worst,44.37030792236328,1784888624669,8,,,-1284935173188530784
Loss: Top-127 Worst,44.02174758911133,1784888681097,9,,,-5952468987475196954
Loss: Top-127 Worst,45.64285659790039,1784888732005,10,,,-8652703389380598989
Loss: Top-127 Worst,44.82631301879883,1784888803581,11,,,-41687435719097970
Loss: Top-127 Worst,43.89287185668945,1784888858201,12,,,-8772291851628364435
Loss: Top-127 Worst,44.97884750366211,1784888912895,13,,,-6551075496776712146
Loss: Top-127 Worst,43.92501449584961,1784888975410,14,,,-7298413879013826670
Loss: Top-127 Worst,45.662513732910156,1784889036421,15,,,-4058065776945707289
Loss: Top-127 Worst,43.82144546508789,1784889139464,16,,,-6180578856855538800
Loss: Top-127 Worst,41.0173225402832,1784889247891,17,,,-1516458438196648502
Loss: Top-127 Worst,39.75632095336914,1784889365162,18,,,-1476660880983722466
Loss: Top-127 Worst,40.02787780761719,1784889474957,19,,,-4856320041126441141
Loss: Top-127 Worst,40.26218032836914,1784889586732,20,,,-3582483049495031389
Loss: Top-127 Worst,39.92341232299805,1784889728221,21,,,-7191650437451856351
Loss: Top-127 Worst,39.726837158203125,1784889844533,22,,,-348829371034860286
Loss: Top-127 Worst,40.44824981689453,1784889961123,23,,,-2751257872998200146
Loss: Top-127 Worst,42.803585052490234,1784890068096,24,,,-2167310444459345666
Loss: Top-127 Worst,41.30537414550781,1784890178919,25,,,-3392435266100640095
Loss: Top-127 Worst,41.3620719909668,1784890306787,26,,,-1904896550338463275
Loss: Top-127 Worst,39.50703048706055,1784890424701,27,,,-4678425773935072802
Loss: Top-127 Worst,39.534820556640625,1784890542879,28,,,-1723213846342815931
Loss: Top-127 Worst,38.92501449584961,1784890666818,29,,,-1327683314597122389
