metricName,metricValue,timestamp,step,epoch,runContext,offset
Timing: Hall of Fame Update,1.6886208057403564,1784888204356,0,,,-8086680359608340450
Timing: Hall of Fame Update,0.1315610408782959,1784888265861,1,,,-2397987399791022902
Timing: Hall of Fame Update,0.40547680854797363,1784888312768,2,,,-7031524832561143027
Timing: Hall of Fame Update,0.05615663528442383,1784888359207,3,,,-7962968271282924174
Timing: Hall of Fame Update,0.029234886169433594,1784888406796,4,,,-8409208053754634294
Timing: Hall of Fame Update,0.04763054847717285,1784888456649,5,,,-633469293129746860
Timing: Hall of Fame Update,0.07471251487731934,1784888520658,6,,,-982477613653697603
Timing: Hall of Fame Update,0.048774003982543945,1784888570945,7,,,-881310869977773775
Timing: Hall of Fame Update,0.05969381332397461,1784888624344,8,,,-6213986700750540090
Timing: Hall of Fame Update,0.06236696243286133,1784888680770,9,,,-193959135973309278
Timing: Hall of Fame Update,0.028129100799560547,1784888731685,10,,,-6997474073491915020
Timing: Hall of Fame Update,0.06394839286804199,1784888802896,11,,,-1089332024520057705
Timing: Hall of Fame Update,0.026755332946777344,1784888857874,12,,,-3901159445042463300
Timing: Hall of Fame Update,0.012417316436767578,1784888912584,13,,,-2999492756489258607
Timing: Hall of Fame Update,0.02605271339416504,1784888975084,14,,,-4182859066587866019
Timing: Hall of Fame Update,0.02867865562438965,1784889035688,15,,,-1231849522352492054
Timing: Hall of Fame Update,0.03878450393676758,1784889139148,16,,,-6206279204602919039
Timing: Hall of Fame Update,0.014716386795043945,1784889247563,17,,,-6787805368507323319
Timing: Hall of Fame Update,0.03896450996398926,1784889364432,18,,,-6449265942118114010
Timing: Hall of Fame Update,0.027256488800048828,1784889474643,19,,,-7227743496809905330
Timing: Hall of Fame Update,0.014858007431030273,1784889586405,20,,,-4924709770112571083
Timing: Hall of Fame Update,0.015108346939086914,1784889727899,21,,,-8305735421791116868
Timing: Hall of Fame Update,0.007620334625244141,1784889843835,22,,,-7835989324162955798
Timing: Hall of Fame Update,0.015093088150024414,1784889960795,23,,,-5769916991319437866
Timing: Hall of Fame Update,0.037290096282958984,1784890067778,24,,,-1154872950074706939
Timing: Hall of Fame Update,0.036180734634399414,1784890178600,25,,,-5703926117428431529
Timing: Hall of Fame Update,0.014821529388427734,1784890306467,26,,,-8195413781542884546
Timing: Hall of Fame Update,0.018085002899169922,1784890424385,27,,,-4146932992844573273
Timing: Hall of Fame Update,0.039145469665527344,1784890542566,28,,,-2967626549591351983
Timing: Hall of Fame Update,0.015253543853759766,1784890666491,29,,,-679948760916605364
Timing: Hall of Fame Update,0.01502847671508789,1784890814439,30,,,-4780335474415518668
Timing: Hall of Fame Update,0.05079030990600586,1784890999127,31,,,-3493883644829900597
Timing: Hall of Fame Update,0.0073947906494140625,1784891121469,32,,,-249592802230549503
Timing: Hall of Fame Update,0.012750387191772461,1784891238172,33,,,-1839467549137587591
Timing: Hall of Fame Update,0.03768515586853027,1784891362732,34,,,-5649032187841566762
Timing: Hall of Fame Update,0.012987136840820312,1784891486139,35,,,-3142188452787918143
Timing: Hall of Fame Update,0.03600621223449707,1784891632718,36,,,-1452680550820539838
Timing: Hall of Fame Update,0.007558107376098633,1784891919684,37,,,-2997309717658179811
Timing: Hall of Fame Update,0.027868032455444336,1784892067007,38,,,-4372083384349490222
Timing: Hall of Fame Update,0.007310152053833008,1784892199873,39,,,-4420377241670768956
Timing: Hall of Fame Update,0.026845693588256836,1784892348029,40,,,-3304919042883492857
Timing: Hall of Fame Update,0.014403820037841797,1784892498079,41,,,-422345095650255255
Timing: Hall of Fame Update,0.0075414180755615234,1784892635059,42,,,-1420959200911296936
Timing: Hall of Fame Update,0.03890228271484375,1784892772700,43,,,-1927892403077607643
Timing: Hall of Fame Update,0.029593229293823242,1784892913288,44,,,-7439172433090596327
