metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Worst,38.912513732910156,1784807992276,0,,,-4352327586639584896
Loss: Top-127 Worst,38.902793884277344,1784808253095,1,,,-7507017581504008224
Loss: Top-127 Worst,39.21430206298828,1784808419133,2,,,-4970597484781235484
Loss: Top-127 Worst,38.87322998046875,1784808584754,3,,,-6378241281039482498
Loss: Top-127 Worst,38.566680908203125,1784808751763,4,,,-5102894629831664253
Loss: Top-127 Worst,38.402793884277344,1784808916677,5,,,-6809139113171569685
Loss: Top-127 Worst,38.473228454589844,1784809095727,6,,,-8062825426898901753
Loss: Top-127 Worst,38.39287185668945,1784809270229,7,,,-3013104431500693588
Loss: Top-127 Worst,38.23371505737305,1784809445204,8,,,-5807792467340815130
Loss: Top-127 Worst,38.662513732910156,1784809614534,9,,,-2383317012586131585
Loss: Top-127 Worst,38.23334884643555,1784809784740,10,,,-1853772946137335062
Loss: Top-127 Worst,38.566680908203125,1784809970479,11,,,-7152615359262364564
Loss: Top-127 Worst,38.473228454589844,1784810149414,12,,,-1971716748595509681
Loss: Top-127 Worst,38.78571319580078,1784810322972,13,,,-5304280492607795568
Loss: Top-127 Worst,37.89092254638672,1784810504536,14,,,-3463174256062097449
Loss: Top-127 Worst,37.32705307006836,1784810689076,15,,,-5548834049227360615
Loss: Top-127 Worst,38.39287185668945,1784810894835,16,,,-2930999660116739372
Loss: Top-127 Worst,37.910728454589844,1784811087128,17,,,-1692875823086090760
Loss: Top-127 Worst,37.33334732055664,1784811519626,18,,,-8239313578076618941
Loss: Top-127 Worst,36.47620391845703,1784811735654,19,,,-8383417265087899772
Loss: Top-127 Worst,35.91965866088867,1784811965358,20,,,-1757363623494330661
Loss: Top-127 Worst,35.952396392822266,1784812222130,21,,,-6975135828622082143
Loss: Top-127 Worst,35.652549743652344,1784812477963,22,,,-4427176270997726050
Loss: Top-127 Worst,33.67164993286133,1784812747570,23,,,-8492271650536513579
Loss: Top-127 Worst,33.33334732055664,1784813032912,24,,,-9124005032130819212
Loss: Top-127 Worst,32.946624755859375,1784813329755,25,,,-7733523124686821211
Loss: Top-127 Worst,32.96172332763672,1784813640522,26,,,-6580930031086626444
Loss: Top-127 Worst,32.60953903198242,1784813949020,27,,,-622232092399426367
Loss: Top-127 Worst,32.418575286865234,1784814266113,28,,,-5454038807880064105
Loss: Top-127 Worst,32.49711227416992,1784814587080,29,,,-951410557517651325
Loss: Top-127 Worst,32.619693756103516,1784814912132,30,,,-4757408067005585268
Loss: Top-127 Worst,32.44049072265625,1784815249173,31,,,-9084581609585260307
Loss: Top-127 Worst,32.27680206298828,1784815575950,32,,,-5883610749163974518
Loss: Top-127 Worst,32.273826599121094,1784815903846,33,,,-444270315147949562
