metricName,metricValue,timestamp,step,epoch,runContext,offset
Timing: Hall of Fame Update,2.4298861026763916,1784389201081,0,,,-6235646113321066245
Timing: Hall of Fame Update,0.22773241996765137,1784389302128,1,,,-2542507852669037104
Timing: Hall of Fame Update,0.17767834663391113,1784389393207,2,,,-3501745035055681418
Timing: Hall of Fame Update,0.8552231788635254,1784389482315,3,,,-5754126269983397751
Timing: Hall of Fame Update,0.10489702224731445,1784389570290,4,,,-6365645409641515575
Timing: Hall of Fame Update,0.07659268379211426,1784389663493,5,,,-2758536910334539977
Timing: Hall of Fame Update,0.1056051254272461,1784389771664,6,,,-6267154164573336438
Timing: Hall of Fame Update,0.0870354175567627,1784389869374,7,,,-7965443189757745069
Timing: Hall of Fame Update,0.10151147842407227,1784389961685,8,,,-4180809765029273055
Timing: Hall of Fame Update,0.06713056564331055,1784390057609,9,,,-4039320150830497637
Timing: Hall of Fame Update,0.07718300819396973,1784390149851,10,,,-3713110837420803817
Timing: Hall of Fame Update,0.06634521484375,1784390261728,11,,,-1931290868337961347
Timing: Hall of Fame Update,0.06689882278442383,1784390357185,12,,,-9172899594700119789
Timing: Hall of Fame Update,0.06422281265258789,1784390456867,13,,,-4430031689530792233
Timing: Hall of Fame Update,0.08819174766540527,1784390555126,14,,,-3996095259692741410
Timing: Hall of Fame Update,0.0886225700378418,1784390656710,15,,,-3326693007023265709
Timing: Hall of Fame Update,0.07851839065551758,1784390773570,16,,,-3601108912378741342
Timing: Hall of Fame Update,0.032042503356933594,1784390880474,17,,,-3722404397628631248
Timing: Hall of Fame Update,0.05873608589172363,1784390978507,18,,,-4908510112312024754
Timing: Hall of Fame Update,0.06665420532226562,1784391088983,19,,,-1079274993574021613
Timing: Hall of Fame Update,0.04087424278259277,1784391193979,20,,,-6401223872138266519
Timing: Hall of Fame Update,0.02980804443359375,1784391324889,21,,,-2178730055907701627
Timing: Hall of Fame Update,0.041809797286987305,1784391445273,22,,,-6293831034577334035
Timing: Hall of Fame Update,0.08851027488708496,1784391563909,23,,,-3800300719912597904
Timing: Hall of Fame Update,0.06791472434997559,1784391699311,24,,,-7134672746617974235
Timing: Hall of Fame Update,0.06552648544311523,1784391834864,25,,,-5072745531919101035
Timing: Hall of Fame Update,0.0431361198425293,1784391999785,26,,,-1453600696378583353
Timing: Hall of Fame Update,0.018729448318481445,1784392157064,27,,,-1005137824000131498
Timing: Hall of Fame Update,0.019162416458129883,1784392318965,28,,,-3515453177865751579
Timing: Hall of Fame Update,0.0404360294342041,1784392480840,29,,,-5207831681393447468
Timing: Hall of Fame Update,0.06600713729858398,1784392655257,30,,,-3076145480739747987
Timing: Hall of Fame Update,0.01790642738342285,1784392854318,31,,,-1273961829575547061
Timing: Hall of Fame Update,0.06987237930297852,1784393028120,32,,,-2773394472716748603
Timing: Hall of Fame Update,0.04318571090698242,1784393218995,33,,,-4762380944122917394
Timing: Hall of Fame Update,0.08057951927185059,1784393394402,34,,,-9117734802444996267
Timing: Hall of Fame Update,0.8039312362670898,1784393585830,35,,,-3590107756443176022
Timing: Hall of Fame Update,0.8205933570861816,1784393786960,36,,,-1524238966580396880
Timing: Hall of Fame Update,0.06564021110534668,1784393985682,37,,,-9112821484716826790
Timing: Hall of Fame Update,0.04239702224731445,1784394179933,38,,,-247207605840254808
Timing: Hall of Fame Update,0.04442596435546875,1784394373910,39,,,-7732899626339618430
Timing: Hall of Fame Update,0.018209218978881836,1784394565109,40,,,-2902127901950255470
Timing: Hall of Fame Update,0.014876365661621094,1784394773492,41,,,-5747523928680208067
Timing: Hall of Fame Update,0.006957530975341797,1784394965080,42,,,-2357428314972806152
Timing: Hall of Fame Update,0.055320024490356445,1784395170105,43,,,-1019970504851997372
Timing: Hall of Fame Update,0.06385445594787598,1784395362956,44,,,-2723681188270026445
Timing: Hall of Fame Update,0.00708770751953125,1784395551679,45,,,-4283521983180406915
Timing: Hall of Fame Update,0.03205442428588867,1784395763503,46,,,-769806744286460746
Timing: Hall of Fame Update,0.07778787612915039,1784395958460,47,,,-8761735888981359272
Timing: Hall of Fame Update,0.0865473747253418,1784396151775,48,,,-9084146722933378843
Timing: Hall of Fame Update,0.07917499542236328,1784396345350,49,,,-8823481860639055685
Timing: Hall of Fame Update,0.103363037109375,1784396547823,50,,,-2422972625792903280
Timing: Hall of Fame Update,0.05613255500793457,1784396758438,51,,,-8405816637940485353
Timing: Hall of Fame Update,0.08848977088928223,1784396963763,52,,,-277583147422107737
Timing: Hall of Fame Update,0.1482834815979004,1784397167619,53,,,-5254342402524929742
Timing: Hall of Fame Update,0.07894277572631836,1784397365241,54,,,-7505665073605405981
Timing: Hall of Fame Update,0.11400485038757324,1784397565926,55,,,-1334251571824951910
Timing: Hall of Fame Update,0.13223576545715332,1784397788387,56,,,-322783880317278263
Timing: Hall of Fame Update,0.1279284954071045,1784397992265,57,,,-7611723876530064873
Timing: Hall of Fame Update,0.06238555908203125,1784398200197,58,,,-195306200706431236
Timing: Hall of Fame Update,0.11663818359375,1784398404414,59,,,-3132515377407712897
Timing: Hall of Fame Update,0.08736038208007812,1784398616432,60,,,-8129999044498216353
