metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Batch Best,29.38825035095215,1784716170518,0,,,-5353419832026484281
Loss: Batch Best,24.886920928955078,1784716299282,1,,,-7069573211970432201
Loss: Batch Best,24.851314544677734,1784716416314,2,,,-1665493153459023362
Loss: Batch Best,23.42318344116211,1784716542611,3,,,-386035049017574998
Loss: Batch Best,24.9696044921875,1784716660778,4,,,-5057251563613129465
Loss: Batch Best,25.64974021911621,1784716783385,5,,,-353694612808451417
Loss: Batch Best,24.278587341308594,1784716917627,6,,,-3061279844136633065
Loss: Batch Best,24.757591247558594,1784717039412,7,,,-3272243712249902152
Loss: Batch Best,24.90735626220703,1784717157432,8,,,-2703417974142027801
Loss: Batch Best,24.14455223083496,1784717285970,9,,,-5840952664544120361
Loss: Batch Best,29.533348083496094,1784717410741,10,,,-2460993531454565960
Loss: Batch Best,25.55759048461914,1784717546718,11,,,-7661473372946738636
Loss: Batch Best,25.10532569885254,1784717673547,12,,,-2571938121552951228
Loss: Batch Best,29.47918128967285,1784717799728,13,,,-5876151252312439811
Loss: Batch Best,24.02202033996582,1784717930033,14,,,-2242598062342942977
Loss: Batch Best,24.02918243408203,1784718068512,15,,,-6310269621537526710
Loss: Batch Best,20.50092315673828,1784718230586,16,,,-3527036978994825694
Loss: Batch Best,23.71200942993164,1784718468775,17,,,-7915094246163485919
Loss: Batch Best,24.05001449584961,1784718615333,18,,,-7820807092111006646
Loss: Batch Best,25.28997039794922,1784718774276,19,,,-324872893182470054
Loss: Batch Best,24.63908576965332,1784718948063,20,,,-1233991560896664651
Loss: Batch Best,24.427223205566406,1784719146717,21,,,-788005175403295522
Loss: Batch Best,24.642871856689453,1784719341593,22,,,-3168433626109202049
Loss: Batch Best,24.356908798217773,1784719535883,23,,,-6281842264910782876
Loss: Batch Best,24.63469886779785,1784719739448,24,,,-1981893045801524422
Loss: Batch Best,25.355066299438477,1784719938119,25,,,-9011274050682907293
Loss: Batch Best,24.059093475341797,1784720160003,26,,,-5971391994789077732
Loss: Batch Best,24.261981964111328,1784720360656,27,,,-2074545664370720193
Loss: Batch Best,21.955909729003906,1784720563428,28,,,-4913468245385463307
Loss: Batch Best,24.23452377319336,1784720764285,29,,,-5398408024772286686
Loss: Batch Best,23.92896842956543,1784720959408,30,,,-5416144548171506122
Loss: Batch Best,16.59471321105957,1784721176578,31,,,-4443224092187728028
Loss: Batch Best,23.66251564025879,1784721374213,32,,,-5884542597043969374
Loss: Batch Best,24.856292724609375,1784721579680,33,,,-3587315417925716624
Loss: Batch Best,23.138593673706055,1784721779448,34,,,-8639772394098152141
Loss: Batch Best,23.519603729248047,1784721969942,35,,,-4862110686477739424
Loss: Batch Best,24.735822677612305,1784722187204,36,,,-7009768765433681710
Loss: Batch Best,24.084863662719727,1784722375015,37,,,-5178084149731088278
Loss: Batch Best,16.826757431030273,1784722567819,38,,,-4542256202346152397
Loss: Batch Best,16.75867462158203,1784722754708,39,,,-5862570801194933827
Loss: Batch Best,25.176801681518555,1784722956315,40,,,-5107102443600741
Loss: Batch Best,16.81501579284668,1784723162106,41,,,-8380771467321169251
Loss: Batch Best,16.44799041748047,1784723355961,42,,,-4463810553823339471
Loss: Batch Best,16.113065719604492,1784723551153,43,,,-3478898798606194609
Loss: Batch Best,16.300249099731445,1784723740284,44,,,-8067023830410714328
Loss: Batch Best,16.61699676513672,1784723931273,45,,,-3666994433768232278
Loss: Batch Best,16.651569366455078,1784724137036,46,,,-996524498105380680
Loss: Batch Best,16.002511978149414,1784724317910,47,,,-6664978968958972908
Loss: Batch Best,16.40312957763672,1784724507020,48,,,-4073753019649383551
Loss: Batch Best,16.477798461914062,1784724702511,49,,,-3928645585174250407
Loss: Batch Best,16.350500106811523,1784724891677,50,,,-6561745470178573439
Loss: Batch Best,15.981212615966797,1784725096495,51,,,-2765155684283297083
Loss: Batch Best,16.026880264282227,1784725285699,52,,,-8621290277524876032
Loss: Batch Best,16.256488800048828,1784725472600,53,,,-8444293529863668718
Loss: Batch Best,16.198577880859375,1784725667479,54,,,-6836912354114054182
Loss: Batch Best,16.127944946289062,1784725864345,55,,,-1542931306314030951
Loss: Batch Best,16.245189666748047,1784726073608,56,,,-832194167801721531
Loss: Batch Best,16.130462646484375,1784726260010,57,,,-3334640279731627648
Loss: Batch Best,15.921480178833008,1784726454448,58,,,-8445217350109505422
