metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Worst,41.02790069580078,1784716170519,0,,,-311975035101825922
Loss: Top-127 Worst,41.94287109375,1784716299283,1,,,-4318521840563618057
Loss: Top-127 Worst,41.71800231933594,1784716416314,2,,,-7331378385703097501
Loss: Top-127 Worst,40.28600311279297,1784716542611,3,,,-783199288477221477
Loss: Top-127 Worst,42.002105712890625,1784716660778,4,,,-7193121417365847708
Loss: Top-127 Worst,41.9488639831543,1784716783385,5,,,-2158394110443069837
Loss: Top-127 Worst,41.91535186767578,1784716917627,6,,,-490212070428527754
Loss: Top-127 Worst,41.02849197387695,1784717039412,7,,,-3506146551183282918
Loss: Top-127 Worst,41.10331344604492,1784717157432,8,,,-1768055425612101068
Loss: Top-127 Worst,40.95180130004883,1784717285970,9,,,-6425160478496484168
Loss: Top-127 Worst,41.405860900878906,1784717410741,10,,,-153635810159919095
Loss: Top-127 Worst,41.04616928100586,1784717546718,11,,,-5989182434664992418
Loss: Top-127 Worst,41.229183197021484,1784717673547,12,,,-4854525306534790776
Loss: Top-127 Worst,41.00001525878906,1784717799728,13,,,-2984326380073005720
Loss: Top-127 Worst,41.22144317626953,1784717930033,14,,,-8303263878243672195
Loss: Top-127 Worst,40.501312255859375,1784718068512,15,,,-8641278685975700166
Loss: Top-127 Worst,39.916683197021484,1784718230586,16,,,-4911824212008387110
Loss: Top-127 Worst,40.027793884277344,1784718468775,17,,,-5569975796177255440
Loss: Top-127 Worst,40.06761169433594,1784718615333,18,,,-5272819910105057187
Loss: Top-127 Worst,39.27685546875,1784718774276,19,,,-9130341774601267295
Loss: Top-127 Worst,39.202579498291016,1784718948063,20,,,-4409187264244759189
Loss: Top-127 Worst,38.928585052490234,1784719146717,21,,,-3748465701564354596
Loss: Top-127 Worst,38.75001525878906,1784719341593,22,,,-7557353582000622422
Loss: Top-127 Worst,38.32560348510742,1784719535883,23,,,-1069013247762826721
Loss: Top-127 Worst,38.38101577758789,1784719739448,24,,,-8190583650165570773
Loss: Top-127 Worst,37.97620391845703,1784719938119,25,,,-3906839890291493061
Loss: Top-127 Worst,38.223228454589844,1784720160003,26,,,-6728795533888384486
Loss: Top-127 Worst,37.89287185668945,1784720360656,27,,,-8161110850735209900
Loss: Top-127 Worst,38.23334884643555,1784720563429,28,,,-4430704568584938427
Loss: Top-127 Worst,37.83188247680664,1784720764285,29,,,-5092435184500869586
Loss: Top-127 Worst,37.92501449584961,1784720959408,30,,,-3078603884121927175
Loss: Top-127 Worst,38.23334884643555,1784721176578,31,,,-1224941936240663936
Loss: Top-127 Worst,37.29003143310547,1784721374213,32,,,-1216532009428821737
Loss: Top-127 Worst,38.069610595703125,1784721579680,33,,,-3109969042937929539
Loss: Top-127 Worst,37.58699417114258,1784721779448,34,,,-6455605773423730138
Loss: Top-127 Worst,37.89287185668945,1784721969943,35,,,-5662770023933652530
Loss: Top-127 Worst,37.53242111206055,1784722187204,36,,,-7978262177026455889
