metricName,metricValue,timestamp,step,epoch,runContext,offset
Timing: Hall of Fame Update,2.758864402770996,1784716169545,0,,,-2130305637023087747
Timing: Hall of Fame Update,0.2098534107208252,1784716298720,1,,,-7842626263345838516
Timing: Hall of Fame Update,0.10894966125488281,1784716415730,2,,,-4916269966298053150
Timing: Hall of Fame Update,0.16793513298034668,1784716542027,3,,,-5585218373674039308
Timing: Hall of Fame Update,0.10180950164794922,1784716660212,4,,,-7646323110334806499
Timing: Hall of Fame Update,0.09074759483337402,1784716782035,5,,,-7503353644623834040
Timing: Hall of Fame Update,0.07563543319702148,1784716916304,6,,,-236060480253054268
Timing: Hall of Fame Update,0.13277602195739746,1784717038831,7,,,-5980217252076372482
Timing: Hall of Fame Update,0.09282064437866211,1784717156853,8,,,-8803322044779526009
Timing: Hall of Fame Update,0.05315899848937988,1784717285394,9,,,-5458114071252927903
Timing: Hall of Fame Update,0.040581464767456055,1784717409397,10,,,-6533801555669361828
Timing: Hall of Fame Update,0.05896878242492676,1784717545381,11,,,-4957430222406594982
Timing: Hall of Fame Update,0.05344223976135254,1784717672963,12,,,-2428928028363441529
Timing: Hall of Fame Update,0.041428565979003906,1784717799186,13,,,-5775294396099962534
Timing: Hall of Fame Update,0.08453750610351562,1784717929441,14,,,-9180685932992960998
Timing: Hall of Fame Update,0.018891334533691406,1784718067934,15,,,-7793670028655189430
Timing: Hall of Fame Update,0.09643101692199707,1784718230018,16,,,-5109917087044445739
Timing: Hall of Fame Update,0.049442291259765625,1784718467444,17,,,-4110096973035698378
Timing: Hall of Fame Update,0.07700729370117188,1784718613934,18,,,-4483021240484816416
Timing: Hall of Fame Update,0.0419769287109375,1784718773696,19,,,-474804237192831334
Timing: Hall of Fame Update,0.07913827896118164,1784718947511,20,,,-365187024577693465
Timing: Hall of Fame Update,0.0543515682220459,1784719146130,21,,,-1878873924718139500
Timing: Hall of Fame Update,0.05250215530395508,1784719341018,22,,,-5745424480463931128
Timing: Hall of Fame Update,0.07872819900512695,1784719534506,23,,,-1035079418107435019
Timing: Hall of Fame Update,0.07642483711242676,1784719738862,24,,,-6151393087188799189
Timing: Hall of Fame Update,0.014362573623657227,1784719937535,25,,,-522199235622868777
Timing: Hall of Fame Update,0.06474685668945312,1784720159420,26,,,-1957968008303735286
Timing: Hall of Fame Update,0.05448150634765625,1784720360103,27,,,-4842100469125085409
Timing: Hall of Fame Update,0.06353950500488281,1784720562858,28,,,-8939565073471221460
Timing: Hall of Fame Update,0.8049702644348145,1784720763714,29,,,-4505229463082431826
Timing: Hall of Fame Update,0.04166984558105469,1784720958008,30,,,-7795326844436763181
Timing: Hall of Fame Update,0.0764305591583252,1784721175196,31,,,-6667609336579897659
Timing: Hall of Fame Update,0.056195974349975586,1784721373669,32,,,-5053662360453351126
Timing: Hall of Fame Update,0.015024662017822266,1784721579085,33,,,-3159335549550207735
Timing: Hall of Fame Update,0.05992913246154785,1784721778887,34,,,-1942486118480929918
Timing: Hall of Fame Update,0.057402610778808594,1784721968572,35,,,-3326015754676265784
Timing: Hall of Fame Update,0.014752864837646484,1784722185856,36,,,-653532924188755323
Timing: Hall of Fame Update,0.033681631088256836,1784722373667,37,,,-4848187978894222533
Timing: Hall of Fame Update,0.044049739837646484,1784722567232,38,,,-2555937940667894143
Timing: Hall of Fame Update,0.07138228416442871,1784722754125,39,,,-5632340109935907542
Timing: Hall of Fame Update,0.014726877212524414,1784722955717,40,,,-8405722889580218857
Timing: Hall of Fame Update,0.06646299362182617,1784723161511,41,,,-3647408907903675866
Timing: Hall of Fame Update,0.1022346019744873,1784723355370,42,,,-6257927183404693093
Timing: Hall of Fame Update,0.07281851768493652,1784723549786,43,,,-4330199992248513650
Timing: Hall of Fame Update,0.09927511215209961,1784723739687,44,,,-561157750764696098
Timing: Hall of Fame Update,0.08852958679199219,1784723930686,45,,,-330584315850903934
Timing: Hall of Fame Update,0.08790946006774902,1784724136452,46,,,-6584196842293081512
Timing: Hall of Fame Update,0.11992883682250977,1784724317366,47,,,-889248177658857913
Timing: Hall of Fame Update,0.09410834312438965,1784724506461,48,,,-3302351676783889888
Timing: Hall of Fame Update,0.052606821060180664,1784724701135,49,,,-5883756957661728973
