metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Worst,2.200331687927246,1782737988260,0,,,-2823975634187332573
Loss: Top-127 Worst,2.229435443878174,1782738184932,1,,,-9196365377768621301
Loss: Top-127 Worst,2.139737844467163,1782738365513,2,,,-7759782552210304335
Loss: Top-127 Worst,2.243896961212158,1782738493322,3,,,-1104281091739149976
Loss: Top-127 Worst,2.2175724506378174,1782738712757,4,,,-7567027154392448717
Loss: Top-127 Worst,2.2287838459014893,1782738870089,5,,,-6206090776220070503
Loss: Top-127 Worst,2.162663698196411,1782739041504,6,,,-6192909179716919944
Loss: Top-127 Worst,2.148610830307007,1782739267086,7,,,-4887245583069845193
Loss: Top-127 Worst,2.2150685787200928,1782739453965,8,,,-6229371139989221293
Loss: Top-127 Worst,2.254032611846924,1782739689284,9,,,-75648142250399539
Loss: Top-127 Worst,2.1463255882263184,1782739815275,10,,,-1126301569029561733
Loss: Top-127 Worst,2.1833677291870117,1782740044843,11,,,-2413892159093892999
Loss: Top-127 Worst,2.1929426193237305,1782740238637,12,,,-3651511541894174559
Loss: Top-127 Worst,2.0833656787872314,1782740593474,13,,,-6676721664302182555
Loss: Top-127 Worst,2.0270330905914307,1782740770011,14,,,-2973769967086185531
Loss: Top-127 Worst,2.0112123489379883,1782740962716,15,,,-1374408143167064248
Loss: Top-127 Worst,2.111053705215454,1782741162687,16,,,-2009158558574978154
Loss: Top-127 Worst,2.0963399410247803,1782741315786,17,,,-7949426746971069987
Loss: Top-127 Worst,2.011348009109497,1782741496300,18,,,-7995984642339809128
Loss: Top-127 Worst,2.062899589538574,1782741718580,19,,,-4763629237710739984
Loss: Top-127 Worst,2.025879144668579,1782741948772,20,,,-7084568623742207243
Loss: Top-127 Worst,1.999150037765503,1782742165077,21,,,-7444932388925310964
Loss: Top-127 Worst,2.0381019115448,1782742308593,22,,,-4928833817762353911
Loss: Top-127 Worst,2.0600013732910156,1782742556068,23,,,-2085521196519776031
Loss: Top-127 Worst,2.010532855987549,1782742792731,24,,,-2927690535762718173
Loss: Top-127 Worst,2.003640651702881,1782742952991,25,,,-5726289685977507331
Loss: Top-127 Worst,2.0159828662872314,1782743170045,26,,,-4434369030778432674
Loss: Top-127 Worst,2.0267696380615234,1782743359446,27,,,-3278292205611437227
Loss: Top-127 Worst,2.032543182373047,1782743564256,28,,,-5494517012622759631
Loss: Top-127 Worst,1.9612021446228027,1782743688242,29,,,-3133225495912935892
Loss: Top-127 Worst,1.896801471710205,1782743883414,30,,,-2543295896248316499
Loss: Top-127 Worst,1.922505259513855,1782744094492,31,,,-1745017291394907432
Loss: Top-127 Worst,1.8409662246704102,1782744277428,32,,,-7885249508765154060
Loss: Top-127 Worst,1.818706750869751,1782744427516,33,,,-1027240330979240229
Loss: Top-127 Worst,1.7709003686904907,1782744671417,34,,,-2544029206572604489
Loss: Top-127 Worst,1.6910778284072876,1782744870093,35,,,-3614432937499311777
Loss: Top-127 Worst,1.5315864086151123,1782745041730,36,,,-6297118822370087316
Loss: Top-127 Worst,1.4426485300064087,1782745221398,37,,,-6092080410849684555
Loss: Top-127 Worst,1.2091765403747559,1782745411140,38,,,-5908170867325921049
Loss: Top-127 Worst,1.1330591440200806,1782745602252,39,,,-6390421811717483909
Loss: Top-127 Worst,1.003494381904602,1782745779806,40,,,-3853732203839062307
Loss: Top-127 Worst,0.9387553334236145,1782745959783,41,,,-7400946515728234760
