metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Batch Best,0.40459388494491577,1783839406675,0,,,-1007779223421466434
Loss: Batch Best,0.343895822763443,1783839755802,1,,,-5192172232309595552
Loss: Batch Best,0.42516419291496277,1783840018376,2,,,-4633720512499355119
Loss: Batch Best,0.41032737493515015,1783840291072,3,,,-5165228701310364595
Loss: Batch Best,0.3906416893005371,1783840557402,4,,,-7830059511364794632
Loss: Batch Best,0.44475167989730835,1783840825514,5,,,-5865736762025456074
Loss: Batch Best,0.37812328338623047,1783841190433,6,,,-3452782191216379816
Loss: Batch Best,0.3920115828514099,1783841584233,7,,,-7141997831389372142
Loss: Batch Best,0.25627315044403076,1783842288661,8,,,-2522058771330669722
Loss: Batch Best,0.36105164885520935,1783842576620,9,,,-7452162602746812808
Loss: Batch Best,0.4462212324142456,1783843086465,10,,,-7587478948590778185
Loss: Batch Best,0.43722856044769287,1783843450892,11,,,-5487768040314091327
Loss: Batch Best,0.3468133807182312,1783843733807,12,,,-1611140480853932585
Loss: Batch Best,0.3020046353340149,1783844109565,13,,,-4712218914076687224
Loss: Batch Best,0.42831093072891235,1783844411503,14,,,-7826105732356225715
Loss: Batch Best,0.4294338524341583,1783844785553,15,,,-6101568016795938115
Loss: Batch Best,0.27470874786376953,1783845086095,16,,,-8009513298410852442
Loss: Batch Best,0.3272472023963928,1783845338407,17,,,-8459228766429243970
Loss: Batch Best,0.44470494985580444,1783845649124,18,,,-260459763211864802
Loss: Batch Best,0.2481301724910736,1783845934353,19,,,-1771329973953213314
Loss: Batch Best,0.2925456762313843,1783846195705,20,,,-1415162136137189745
Loss: Batch Best,0.3615987300872803,1783846466445,21,,,-7889158190461884368
Loss: Batch Best,0.3053251802921295,1783846772799,22,,,-2983533948244212374
Loss: Batch Best,0.35267508029937744,1783847031307,23,,,-5213536340761577298
Loss: Batch Best,0.32813453674316406,1783847293248,24,,,-1788522233932617872
Loss: Batch Best,0.3674291968345642,1783847547079,25,,,-8069158871065828195
Loss: Batch Best,0.4542277753353119,1783847875577,26,,,-9119189956453759761
Loss: Batch Best,0.22751359641551971,1783848156994,27,,,-1153194889386634820
Loss: Batch Best,0.29433977603912354,1783848412367,28,,,-1776894372635863312
Loss: Batch Best,0.35925477743148804,1783848681833,29,,,-8295484707753997494
Loss: Batch Best,0.35124075412750244,1783849128275,30,,,-8594813222228186653
Loss: Batch Best,0.2645987570285797,1783849448732,31,,,-4367465648291344274
Loss: Batch Best,0.35544657707214355,1783849694913,32,,,-8262583860301638640
Loss: Batch Best,0.3285878300666809,1783849969649,33,,,-6052256842488033590
Loss: Batch Best,0.15429018437862396,1783850209865,34,,,-5067508976536813435
Loss: Batch Best,0.1968565583229065,1783850509339,35,,,-7829163047992410347
Loss: Batch Best,0.36509862542152405,1783851353597,36,,,-4499075792183813469
Loss: Batch Best,0.36734649538993835,1783851631838,37,,,-4278775526563979693
Loss: Batch Best,0.3422594964504242,1783851916158,38,,,-3354266036931358773
Loss: Batch Best,0.10367853939533234,1783852192005,39,,,-2680362137861999873
Loss: Batch Best,0.19674870371818542,1783852479935,40,,,-303072079312524551
Loss: Batch Best,0.326109915971756,1783852762560,41,,,-2126363493757478890
Loss: Batch Best,0.3130415678024292,1783853031909,42,,,-1295271980662563602
Loss: Batch Best,0.253141313791275,1783853283255,43,,,-713619286517557094
Loss: Batch Best,0.29827189445495605,1783853543645,44,,,-7108557973322084287
Loss: Batch Best,0.30894437432289124,1783853777194,45,,,-3741628075147638330
Loss: Batch Best,0.2897900342941284,1783854010432,46,,,-502287590376457710
Loss: Batch Best,0.17453797161579132,1783854267839,47,,,-7663257374786608492
Loss: Batch Best,0.27780425548553467,1783854618153,48,,,-7386230735859411267
Loss: Batch Best,0.31791454553604126,1783854881088,49,,,-2866227054831690211
Loss: Batch Best,0.21319197118282318,1783855152425,50,,,-6858547146817175540
Loss: Batch Best,0.16738955676555634,1783855435970,51,,,-4542587964972396842
Loss: Batch Best,0.1958654373884201,1783856881619,51,,,-6754811615208639302
Loss: Batch Best,0.2594357430934906,1783855716815,52,,,-4587448449303643178
