metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-127 Average,0.7074527144432068,1783839406675,0,,,-4260517180165631308
Loss: Top-127 Average,0.6739402413368225,1783839755802,1,,,-7185666084678611847
Loss: Top-127 Average,0.6820189952850342,1783840018376,2,,,-4056203593983449194
Loss: Top-127 Average,0.6499990820884705,1783840291072,3,,,-2797176073761293494
Loss: Top-127 Average,0.7106560468673706,1783840557402,4,,,-8348054541832317971
Loss: Top-127 Average,0.7347738742828369,1783840825514,5,,,-4936444732871181448
Loss: Top-127 Average,0.6645120978355408,1783841190433,6,,,-8958819996853627384
Loss: Top-127 Average,0.6852930188179016,1783841584233,7,,,-4925796118251368530
Loss: Top-127 Average,0.7152851223945618,1783842288661,8,,,-5030925988928978639
Loss: Top-127 Average,0.6791982650756836,1783842576621,9,,,-6043018807982304433
Loss: Top-127 Average,0.7245984077453613,1783843086465,10,,,-5051766355265594773
Loss: Top-127 Average,0.7164016366004944,1783843450893,11,,,-5489679312799257154
Loss: Top-127 Average,0.6761104464530945,1783843733808,12,,,-5609272492883912194
Loss: Top-127 Average,0.6674293875694275,1783844109565,13,,,-1924542585620853218
Loss: Top-127 Average,0.6184019446372986,1783844411503,14,,,-7873951148877002139
Loss: Top-127 Average,0.6324824690818787,1783844785553,15,,,-1280384517469673486
Loss: Top-127 Average,0.6394791603088379,1783845086096,16,,,-2351916611453612219
Loss: Top-127 Average,0.5983576774597168,1783845338407,17,,,-7678808671378628386
Loss: Top-127 Average,0.6859102845191956,1783845649125,18,,,-6567781480578060512
Loss: Top-127 Average,0.6412164568901062,1783845934353,19,,,-6518286166067657426
Loss: Top-127 Average,0.6013748049736023,1783846195705,20,,,-6211658276471354137
Loss: Top-127 Average,0.6202093362808228,1783846466445,21,,,-8213577133250543419
Loss: Top-127 Average,0.5494354367256165,1783846772799,22,,,-719821230141639048
Loss: Top-127 Average,0.5543023943901062,1783847031307,23,,,-5542232200610639640
Loss: Top-127 Average,0.5649791359901428,1783847293248,24,,,-3755909933448933493
Loss: Top-127 Average,0.5708385109901428,1783847547079,25,,,-6356037756705585322
Loss: Top-127 Average,0.6257631182670593,1783847875589,26,,,-635344837158162086
Loss: Top-127 Average,0.5236039161682129,1783848156995,27,,,-6296135284435009671
Loss: Top-127 Average,0.6046878099441528,1783848412368,28,,,-5811946651544387863
Loss: Top-127 Average,0.5964807868003845,1783848681833,29,,,-1336972025880193031
Loss: Top-127 Average,0.5431244373321533,1783849128276,30,,,-7253103025224712810
Loss: Top-127 Average,0.5160834193229675,1783849448732,31,,,-6905646296810375976
Loss: Top-127 Average,0.5396558046340942,1783849694913,32,,,-2513409629021044362
Loss: Top-127 Average,0.5835391879081726,1783849969649,33,,,-9078203276948665006
Loss: Top-127 Average,0.5387016534805298,1783850209865,34,,,-159111289434994708
Loss: Top-127 Average,0.5230736136436462,1783850509339,35,,,-2236700963339584243
Loss: Top-127 Average,0.5260452032089233,1783851353597,36,,,-417924303498611331
Loss: Top-127 Average,0.5596175193786621,1783851631838,37,,,-4320476763974036826
Loss: Top-127 Average,0.5468583703041077,1783851916158,38,,,-7656171232520894176
Loss: Top-127 Average,0.5133953094482422,1783852192005,39,,,-4460903318051590653
Loss: Top-127 Average,0.4609694480895996,1783852479935,40,,,-8839150602927839599
