metricName,metricValue,timestamp,step,epoch,runContext,offset
Loss: Top-64 Average,0.1277223378419876,1782719086084,0,,,-144415069525295045
Loss: Top-64 Average,0.179848313331604,1782719109059,1,,,-2411826181816152575
Loss: Top-64 Average,0.1257668435573578,1782719135643,2,,,-1195163941941428344
Loss: Top-64 Average,0.14264263212680817,1782719174136,3,,,-7324239851366080750
Loss: Top-64 Average,0.13489535450935364,1782719194303,4,,,-6600728046945390449
Loss: Top-64 Average,0.13357433676719666,1782719207684,5,,,-6521816888824659983
Loss: Top-64 Average,0.14124846458435059,1782719254680,6,,,-7199428786295959542
Loss: Top-64 Average,0.12726861238479614,1782719288401,7,,,-14410770626860549
Loss: Top-64 Average,0.12268936634063721,1782719302818,8,,,-7934015494371107894
Loss: Top-64 Average,0.09926604479551315,1782719316733,9,,,-6966601122333849500
Loss: Top-64 Average,0.061569493263959885,1782719348428,10,,,-4296745439445291856
Loss: Top-64 Average,0.026058701798319817,1782719397019,11,,,-4736364697044613527
Loss: Top-64 Average,0.034698713570833206,1782719411278,12,,,-4615160978054998049
Loss: Top-64 Average,0.014042518101632595,1782719425960,13,,,-2268697473723635983
Loss: Top-64 Average,0.008516613394021988,1782719440318,14,,,-4308933788903839816
Loss: Top-64 Average,0.008370084688067436,1782719474930,15,,,-3036381014291593237
Loss: Top-64 Average,0.0066230325028300285,1782719527498,16,,,-9099753949296745314
Loss: Top-64 Average,0.006287777330726385,1782719541528,17,,,-1909439124795658665
Loss: Top-64 Average,0.006402686238288879,1782719556273,18,,,-4873973602240792830
Loss: Top-64 Average,0.006697372533380985,1782719595069,19,,,-8869427401361664163
Loss: Top-64 Average,0.0064184353686869144,1782719633784,20,,,-4539681009343993972
