method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,1,100,100,16,123.89750013979636,131.23004912981258,123.89750013979636,False,max_epochs,6.476243495941162
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,2,200,100,16,124.38461890073805,130.54758746523322,123.89750013979636,False,max_epochs,9.274301290512085
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,3,300,100,16,124.46224555591866,132.05099152180668,123.89750013979636,False,max_epochs,13.836451292037964
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,4,400,100,16,124.08840573544398,130.89517916114494,123.89750013979636,False,max_epochs,18.594287395477295
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,5,500,100,16,123.7767094895935,131.6402226291979,123.7767094895935,False,max_epochs,23.57662010192871
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,6,600,100,16,123.47741194071874,130.06003328239615,123.47741194071874,False,max_epochs,28.10477328300476
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,7,700,100,16,123.6573456320279,130.09026508239765,123.47741194071874,False,max_epochs,32.549880027770996
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,8,800,100,16,124.28343162463855,133.98368214206093,123.47741194071874,False,max_epochs,36.8401997089386
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,9,900,100,16,123.5474378157312,130.1649110508019,123.47741194071874,False,max_epochs,38.92557978630066
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,10,1000,100,16,123.44195850903894,130.3610937966967,123.44195850903894,False,max_epochs,43.30746078491211
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,11,1100,100,16,124.98003656000488,129.7055753426235,123.44195850903894,False,max_epochs,48.50424647331238
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,12,1200,100,16,124.96623986997666,131.85299792781024,123.44195850903894,False,max_epochs,53.39506983757019
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,13,1300,100,16,123.09768645364788,130.85458338463212,123.09768645364788,False,max_epochs,58.80440592765808
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,14,1400,100,16,124.08432003314161,130.5349614962924,123.09768645364788,False,max_epochs,63.45719623565674
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,15,1500,100,16,124.53158152728196,131.4268325149843,123.09768645364788,False,max_epochs,67.99812197685242
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,16,1600,100,16,122.94420321705783,130.34927574628975,122.94420321705783,False,max_epochs,72.71842741966248
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,17,1700,100,16,123.57431295419713,130.047233531912,122.94420321705783,False,max_epochs,77.11502957344055
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,18,1800,100,16,124.51732090884433,131.7095894718937,122.94420321705783,False,max_epochs,79.27147221565247
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,19,1900,100,16,123.87986626125709,129.8186334308993,122.94420321705783,False,max_epochs,84.40553617477417
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,20,2000,100,16,123.43641060768948,131.11407647315096,122.94420321705783,False,max_epochs,89.10808396339417
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,21,2100,100,16,122.38283987498794,129.30389150822432,122.38283987498794,False,max_epochs,93.96890020370483
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,22,2200,100,16,122.25067218496422,129.17039474097766,122.25067218496422,False,max_epochs,99.03249907493591
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,23,2300,100,16,122.7384919985088,128.3312291444676,122.25067218496422,False,max_epochs,104.208420753479
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,24,2400,100,16,122.23321495001517,128.49280611335254,122.23321495001517,False,max_epochs,109.12646508216858
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,25,2500,100,16,121.39936880317696,127.96997041558943,121.39936880317696,False,max_epochs,113.78577876091003
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,26,2600,100,16,121.85367103651237,126.874131063618,121.39936880317696,False,max_epochs,118.20663833618164
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,27,2700,100,16,123.1477964138918,127.12422997032584,121.39936880317696,False,max_epochs,120.49313449859619
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,28,2800,100,16,122.2764333785889,127.07164038203122,121.39936880317696,False,max_epochs,124.93515110015869
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,29,2900,100,16,122.20857540618613,126.46869908051215,121.39936880317696,False,max_epochs,129.86430382728577
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,30,3000,100,16,123.1040769917742,126.53898903751289,121.39936880317696,False,max_epochs,134.33133220672607
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,31,3100,100,16,122.84027980996072,127.38755477719283,121.39936880317696,False,max_epochs,139.27107119560242
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,32,3200,100,16,121.61826023495584,126.60990257751186,121.39936880317696,False,max_epochs,143.6317846775055
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,33,3300,100,16,122.81564486725588,126.92452953412547,121.39936880317696,False,max_epochs,147.18542623519897
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,34,3400,100,16,122.0424364580073,127.09392730408535,121.39936880317696,False,max_epochs,149.73292708396912
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,35,3500,100,16,121.64577985755164,127.59219331014884,121.39936880317696,False,max_epochs,154.33728742599487
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,36,3600,100,16,122.16316904098151,126.79162592609168,121.39936880317696,False,max_epochs,159.0317828655243
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,37,3700,100,16,122.78845651465558,127.6853551504913,121.39936880317696,False,max_epochs,163.5881016254425
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,38,3800,100,16,121.6292185717384,126.80821363057821,121.39936880317696,False,max_epochs,168.06006455421448
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,39,3900,100,16,120.9780310343297,127.48500948154268,120.9780310343297,False,max_epochs,171.7721667289734
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,40,4000,100,16,121.85398190457158,126.84986205814164,120.9780310343297,False,max_epochs,174.72381973266602
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,41,4100,100,16,121.80991223754015,127.96836049727787,120.9780310343297,False,max_epochs,179.51935458183289
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,42,4200,100,16,122.03304255311325,130.13153151255858,120.9780310343297,False,max_epochs,184.32427072525024
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,43,4300,100,16,121.5043086052668,127.29942794339249,120.9780310343297,False,max_epochs,189.4288625717163
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,44,4400,100,16,121.86226130309561,128.31616484913144,120.9780310343297,False,max_epochs,193.92831230163574
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,45,4500,100,16,121.4590308694463,126.37205799791147,120.9780310343297,False,max_epochs,198.44168090820312
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,46,4600,100,16,121.51933557635076,126.18578615316311,120.9780310343297,False,max_epochs,200.68859910964966
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,47,4700,100,16,121.90857958865624,125.94603153588052,120.9780310343297,False,max_epochs,204.89903163909912
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,48,4800,100,16,121.15934391756598,125.66057299550297,120.9780310343297,False,max_epochs,209.44651675224304
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,49,4900,100,16,122.04470742353068,125.95752216660767,120.9780310343297,False,max_epochs,214.22282433509827
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,50,5000,100,16,121.93628457487566,127.17410653694888,120.9780310343297,False,max_epochs,219.63082265853882
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,51,5100,100,16,120.90943662035502,126.09659362739912,120.90943662035502,False,max_epochs,224.17419600486755
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,52,5200,100,16,121.2714417061921,126.79995207403272,120.90943662035502,False,max_epochs,228.82434797286987
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,53,5300,100,16,121.3647202385658,126.20716413740779,120.90943662035502,False,max_epochs,232.4381148815155
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,54,5400,100,16,121.84132035169787,128.03199761361753,120.90943662035502,False,max_epochs,235.38555550575256
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,55,5500,100,16,121.24821661770878,128.85654018734843,120.90943662035502,False,max_epochs,240.11113476753235
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,56,5600,100,16,121.02104716636066,127.50827059265828,120.90943662035502,False,max_epochs,245.5460250377655
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,57,5700,100,16,121.10657615880145,127.88900514245098,120.90943662035502,False,max_epochs,250.18852639198303
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,58,5800,100,16,121.22770677119502,127.35198630941562,120.90943662035502,False,max_epochs,255.5272078514099
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,59,5900,100,16,120.52234995860992,128.0339608263593,120.52234995860992,False,max_epochs,260.59798192977905
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,60,6000,100,16,121.18583270986652,126.84405236350565,120.52234995860992,False,max_epochs,265.84755539894104
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,61,6100,100,16,121.56802195275023,125.10100810506228,120.52234995860992,False,max_epochs,270.8292462825775
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,62,6200,100,16,121.32467873897842,126.57524658590387,120.52234995860992,False,max_epochs,276.11785793304443
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,63,6300,100,16,120.93224721998511,125.66540950181326,120.52234995860992,False,max_epochs,280.96065306663513
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,64,6400,100,16,121.32773122747966,126.61104710471812,120.52234995860992,False,max_epochs,286.26100969314575
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,65,6500,100,16,121.55400271766321,127.18727392564713,120.52234995860992,False,max_epochs,291.19072461128235
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,66,6600,100,16,120.73612482355077,127.44897220954424,120.52234995860992,False,max_epochs,296.5334241390228
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,67,6700,100,16,120.97436335208938,130.82968997135495,120.52234995860992,False,max_epochs,301.1751232147217
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,68,6800,100,16,121.25660967916258,131.75326455417263,120.52234995860992,False,max_epochs,306.45296478271484
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,69,6900,100,16,120.76418824052993,130.74976757211894,120.52234995860992,False,max_epochs,311.3183054924011
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,70,7000,100,16,121.2609888242723,130.95479486753544,120.52234995860992,False,max_epochs,316.45789527893066
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,71,7100,100,16,120.63264499291674,127.59163771073521,120.52234995860992,False,max_epochs,321.11561131477356
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,72,7200,100,16,120.79907542899888,127.97882209820412,120.52234995860992,False,max_epochs,325.93904995918274
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,73,7300,100,16,120.90055482967385,127.2577565112164,120.52234995860992,False,max_epochs,330.4698040485382
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,74,7400,100,16,119.83525191589617,128.0308415187116,119.83525191589617,False,max_epochs,332.5220606327057
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,75,7500,100,16,120.73932812764794,127.27636477469038,119.83525191589617,False,max_epochs,337.00512862205505
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,76,7600,100,16,120.76253606517133,125.15659970370274,119.83525191589617,False,max_epochs,342.2576048374176
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,77,7700,100,16,120.74801369412779,125.31907457355544,119.83525191589617,False,max_epochs,346.9236240386963
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed101,101,78,7800,100,16,118.59351943273137,124.96341058467138,118.59351943273137,False,max_epochs,352.2709264755249
