method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,1,100,100,16,124.68450071276173,130.25854252150629,124.68450071276173,False,max_epochs,4.7135515213012695
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,2,200,100,16,124.2033382521175,130.98277479187465,124.2033382521175,False,max_epochs,6.002523183822632
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,3,300,100,16,124.24402365834409,129.9600453581432,124.2033382521175,False,max_epochs,7.685728549957275
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,4,400,100,16,124.52797394161551,130.01751945057464,124.2033382521175,False,max_epochs,9.197613000869751
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,5,500,100,16,123.93575846668661,128.97067901542465,123.93575846668661,False,max_epochs,10.612598419189453
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,6,600,100,16,123.63587843769436,130.40900809205948,123.63587843769436,False,max_epochs,11.876484394073486
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,7,700,100,16,124.44469446488381,131.33931196200976,123.63587843769436,False,max_epochs,13.309370517730713
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,8,800,100,16,124.46260495184943,129.53568191271626,123.63587843769436,False,max_epochs,14.628601789474487
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,9,900,100,16,123.81611313599225,131.1439408723718,123.63587843769436,False,max_epochs,16.005757093429565
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,10,1000,100,16,124.05108349687002,131.11543134461027,123.63587843769436,False,max_epochs,17.248294353485107
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,11,1100,100,16,123.63913806000751,130.25425118640393,123.63587843769436,False,max_epochs,18.728203773498535
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1,seed005,5,12,1200,100,16,124.09427514499724,130.06623965103003,123.63587843769436,False,max_epochs,20.052582263946533
