method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,1,100,100,16,123.91377260336472,131.12487270436952,123.91377260336472,False,max_epochs,8.891846895217896
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,2,200,100,16,123.78899398338355,131.44755148595476,123.78899398338355,False,max_epochs,12.671589612960815
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,3,300,100,16,123.35677481308406,130.44369926839676,123.35677481308406,False,max_epochs,17.462239503860474
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,4,400,100,16,124.66160641300795,131.85770885955213,123.35677481308406,False,max_epochs,22.90647792816162
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,5,500,100,16,123.59857439316441,131.79097545456602,123.35677481308406,False,max_epochs,28.242679357528687
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,6,600,100,16,124.05971923230766,132.19543339316186,123.35677481308406,False,max_epochs,33.78976035118103
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,7,700,100,16,123.38382904690631,129.72236788032512,123.35677481308406,False,max_epochs,39.02043151855469
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,8,800,100,16,124.79319977438857,133.2081767541011,123.35677481308406,False,max_epochs,44.60115575790405
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,9,900,100,16,123.79096797004983,130.13525282502025,123.35677481308406,False,max_epochs,49.51852607727051
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,10,1000,100,16,124.32642303196917,131.00778709729315,123.35677481308406,False,max_epochs,54.757917165756226
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,11,1100,100,16,124.34253435152634,131.0495806320771,123.35677481308406,False,max_epochs,59.55465841293335
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,12,1200,100,16,124.08418173369066,132.76440256442237,123.35677481308406,False,max_epochs,64.48994565010071
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,13,1300,100,16,123.60393977798171,130.40524912790698,123.35677481308406,False,max_epochs,67.43624114990234
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,14,1400,100,16,124.19356630919802,131.28176940511776,123.35677481308406,False,max_epochs,71.7988531589508
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,15,1500,100,16,123.35905465696153,129.79369294343422,123.35677481308406,False,max_epochs,77.10605049133301
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,16,1600,100,16,124.10907232061066,129.9951300874929,123.35677481308406,False,max_epochs,82.27041435241699
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,17,1700,100,16,123.53123547729723,130.0713489779044,123.35677481308406,False,max_epochs,87.33688306808472
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,18,1800,100,16,123.48585204795259,130.85250357515304,123.35677481308406,False,max_epochs,92.43861079216003
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,19,1900,100,16,123.26912571199772,130.57514028518818,123.26912571199772,False,max_epochs,97.38849210739136
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,20,2000,100,16,123.11030170019139,129.59669615304512,123.11030170019139,False,max_epochs,99.5820951461792
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,21,2100,100,16,121.8060342217762,130.0044308412164,121.8060342217762,False,max_epochs,104.62610387802124
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,22,2200,100,16,121.89906771974991,128.66966399155524,121.8060342217762,False,max_epochs,109.70113277435303
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,23,2300,100,16,123.05631136248525,127.66323702650612,121.8060342217762,False,max_epochs,114.89092063903809
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,24,2400,100,16,122.69150656660256,127.78411970807306,121.8060342217762,False,max_epochs,119.99648642539978
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,25,2500,100,16,121.29854701244722,126.71567374131243,121.29854701244722,False,max_epochs,125.27187204360962
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,26,2600,100,16,121.25680579391941,126.69733315898623,121.25680579391941,False,max_epochs,130.0653567314148
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,27,2700,100,16,122.08922314574164,126.83440473213733,121.25680579391941,False,max_epochs,134.99718189239502
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,28,2800,100,16,121.28032081941478,126.21568792275401,121.25680579391941,False,max_epochs,137.65735387802124
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20,seed283,283,29,2900,100,16,122.00088802397461,126.18011104039698,121.25680579391941,False,max_epochs,142.3912069797516
