method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,1,100,100,16,125.06829850571005,130.3561877606822,125.06829850571005,False,max_epochs,7.479778528213501
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,2,200,100,16,124.60767300064684,128.960912236306,124.60767300064684,False,max_epochs,8.956888437271118
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,3,300,100,16,123.81061501460745,129.59383142097317,123.81061501460745,False,max_epochs,10.12296175956726
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,4,400,100,16,123.61489760446553,129.63474703617538,123.61489760446553,False,max_epochs,11.695419073104858
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,5,500,100,16,124.1760509376641,128.51637107102724,123.61489760446553,False,max_epochs,13.050264596939087
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,6,600,100,16,123.40597065104913,126.33581294398638,123.40597065104913,False,max_epochs,14.393125057220459
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,7,700,100,16,123.02179606871658,126.64250470339204,123.02179606871658,False,max_epochs,15.769673824310303
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,8,800,100,16,123.1388748208514,126.37726174367569,123.02179606871658,False,max_epochs,17.176330089569092
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,9,900,100,16,122.63002932921908,125.99040353661833,122.63002932921908,False,max_epochs,18.554359197616577
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,10,1000,100,16,122.58128022647561,125.91177391041259,122.58128022647561,False,max_epochs,19.86346411705017
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,11,1100,100,16,122.17032603172322,126.32081875807224,122.17032603172322,False,max_epochs,21.28459668159485
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,12,1200,100,16,122.97050904408574,128.58681437799282,122.17032603172322,False,max_epochs,22.632776975631714
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,13,1300,100,16,122.48536539556025,127.54551147909905,122.17032603172322,False,max_epochs,24.178170919418335
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,14,1400,100,16,122.10888042276515,125.72588247266995,122.10888042276515,False,max_epochs,25.595686197280884
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,15,1500,100,16,122.2855230256273,128.66864104486694,122.10888042276515,False,max_epochs,26.994086742401123
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,16,1600,100,16,121.92085370458179,124.09359472583952,121.92085370458179,False,max_epochs,28.429176807403564
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,17,1700,100,16,122.15012865301567,124.77295975162707,121.92085370458179,False,max_epochs,29.622796535491943
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,18,1800,100,16,121.9320590846926,123.85137810566252,121.92085370458179,False,max_epochs,31.033774852752686
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,19,1900,100,16,121.84103245574092,123.50743106136028,121.84103245574092,False,max_epochs,32.2103590965271
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,20,2000,100,16,121.69857882823274,123.40086406675451,121.69857882823274,False,max_epochs,33.83824944496155
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,21,2100,100,16,121.52217742141644,123.30095827889156,121.52217742141644,False,max_epochs,35.14579129219055
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,22,2200,100,16,121.26646585443454,123.27197455249828,121.26646585443454,False,max_epochs,36.33182168006897
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,23,2300,100,16,121.27490990890385,124.18535366869338,121.26646585443454,False,max_epochs,37.99455189704895
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,24,2400,100,16,121.15808514051055,124.3540290376692,121.15808514051055,False,max_epochs,39.42997860908508
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,25,2500,100,16,120.8399762394394,125.75102415980257,120.8399762394394,False,max_epochs,41.14442253112793
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,26,2600,100,16,122.32988053884905,131.54925293708897,120.8399762394394,False,max_epochs,43.57890605926514
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,27,2700,100,16,121.27247058896438,128.46446874069193,120.8399762394394,False,max_epochs,46.37113952636719
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,28,2800,100,16,120.83686493273993,124.54966936161927,120.83686493273993,False,max_epochs,48.647924184799194
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,29,2900,100,16,120.76601462165354,124.5021221924136,120.76601462165354,False,max_epochs,51.970250368118286
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,30,3000,100,16,120.93982866009443,124.00930478952992,120.76601462165354,False,max_epochs,54.22100472450256
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,31,3100,100,16,120.60575869792106,123.54850093953243,120.60575869792106,False,max_epochs,55.56062078475952
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,32,3200,100,16,120.70074969020693,122.83922636505739,120.60575869792106,False,max_epochs,56.74893522262573
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,33,3300,100,16,120.83464099510073,122.9465850514498,120.60575869792106,False,max_epochs,58.058706283569336
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,34,3400,100,16,120.6257274766613,123.00434115260929,120.60575869792106,False,max_epochs,59.220730781555176
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,35,3500,100,16,120.49882624143235,122.65086331154522,120.49882624143235,False,max_epochs,60.608895778656006
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,36,3600,100,16,120.33605698103592,127.16034948237865,120.33605698103592,False,max_epochs,61.801443099975586
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,37,3700,100,16,120.34705145191447,126.62569396267708,120.33605698103592,False,max_epochs,63.18402671813965
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,38,3800,100,16,120.48874637832216,127.48296930801095,120.33605698103592,False,max_epochs,64.40348553657532
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,39,3900,100,16,120.39991374703106,124.4569085027675,120.33605698103592,False,max_epochs,65.73156952857971
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,40,4000,100,16,120.33350274923757,137.29986690609664,120.33350274923757,False,max_epochs,66.89083528518677
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,41,4100,100,16,119.99827017275587,138.77369746819394,119.99827017275587,False,max_epochs,68.05022358894348
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,42,4200,100,16,120.05834249938604,132.37240482006496,119.99827017275587,False,max_epochs,69.39647269248962
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,43,4300,100,16,120.65741798915303,123.26196451809858,119.99827017275587,False,max_epochs,70.5430760383606
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,44,4400,100,16,120.67219731169914,123.20560845981664,119.99827017275587,False,max_epochs,71.93642401695251
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,45,4500,100,16,120.30020564334022,127.1528821270196,119.99827017275587,False,max_epochs,73.33934092521667
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,46,4600,100,16,120.28351623955095,133.93133622482793,119.99827017275587,False,max_epochs,74.52452969551086
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,47,4700,100,16,122.49268646674716,140.55615976033113,119.99827017275587,False,max_epochs,76.11203718185425
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,48,4800,100,16,120.07470682321988,135.97655395426452,119.99827017275587,False,max_epochs,77.29946804046631
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,49,4900,100,16,120.1619334379452,132.98175857320933,119.99827017275587,False,max_epochs,78.8529748916626
rl4crn_rne_oscillator_trace_risk09_lr5e4,seed003,3,50,5000,100,16,120.4580268264333,126.97229188051031,119.99827017275587,False,max_epochs,80.35318732261658
