method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,1,100,100,16,124.47501560810767,129.45314181683602,124.47501560810767,False,max_epochs,6.393495798110962
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,2,200,100,16,123.92511748030037,129.30873581980262,123.92511748030037,False,max_epochs,7.9563233852386475
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,3,300,100,16,123.41378619295268,129.03683369573193,123.41378619295268,False,max_epochs,9.447064876556396
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,4,400,100,16,124.46434731784832,129.17909826491166,123.41378619295268,False,max_epochs,11.085638284683228
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,5,500,100,16,125.0,130.0105721428311,123.41378619295268,False,max_epochs,12.576374292373657
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,6,600,100,16,123.01376657070662,128.96176358642947,123.01376657070662,False,max_epochs,14.286911487579346
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,7,700,100,16,121.03013939838479,129.34752999825855,121.03013939838479,False,max_epochs,15.63243293762207
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,8,800,100,16,121.88456814658117,127.20127588085208,121.03013939838479,False,max_epochs,17.400776624679565
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,9,900,100,16,120.6269601312676,134.39627824488076,120.6269601312676,False,max_epochs,18.61707639694214
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,10,1000,100,16,122.59502483557,135.62333778803844,120.6269601312676,False,max_epochs,20.36357283592224
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,11,1100,100,16,120.33286878050521,136.25250658617236,120.33286878050521,False,max_epochs,21.542500257492065
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,12,1200,100,16,121.404598492718,134.23822949697953,120.33286878050521,False,max_epochs,22.951995849609375
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,13,1300,100,16,121.28368908544851,131.89388613547385,120.33286878050521,False,max_epochs,24.182899236679077
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,14,1400,100,16,120.10444584515545,135.12847343641874,120.10444584515545,False,max_epochs,25.561529874801636
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,15,1500,100,16,120.40159769075143,134.8218792523025,120.10444584515545,False,max_epochs,26.888499975204468
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,16,1600,100,16,120.12355932457034,133.74282932658224,120.10444584515545,False,max_epochs,28.446224212646484
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,17,1700,100,16,118.25611955955043,134.39313934567198,118.25611955955043,False,max_epochs,29.840765237808228
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,18,1800,100,16,121.21586411899797,136.1887579145152,118.25611955955043,False,max_epochs,31.176292419433594
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,19,1900,100,16,120.62920174823293,136.37842107745752,118.25611955955043,False,max_epochs,32.399537086486816
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,20,2000,100,16,121.12868798410213,136.05481552930866,118.25611955955043,False,max_epochs,33.764511823654175
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,21,2100,100,16,119.25570283812408,136.669859105838,118.25611955955043,False,max_epochs,34.90099859237671
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,22,2200,100,16,120.92961595807641,136.19372160644232,118.25611955955043,False,max_epochs,36.06902742385864
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,23,2300,100,16,119.82158082592298,134.7358585053751,118.25611955955043,False,max_epochs,37.55413007736206
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,24,2400,100,16,119.16194763330287,133.82040277302912,118.25611955955043,False,max_epochs,39.14162588119507
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,25,2500,100,16,120.05199945164412,133.37252786524743,118.25611955955043,False,max_epochs,42.191638231277466
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,26,2600,100,16,119.2022740833633,136.22110416100014,118.25611955955043,False,max_epochs,44.925034523010254
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,27,2700,100,16,119.47007551969675,133.66034748054506,118.25611955955043,False,max_epochs,48.23277831077576
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,28,2800,100,16,119.65579753747173,136.07060996312418,118.25611955955043,False,max_epochs,50.86704635620117
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,29,2900,100,16,120.71423368501402,137.50434964907907,118.25611955955043,False,max_epochs,52.70996427536011
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,30,3000,100,16,120.80742739488296,137.42585770801236,118.25611955955043,False,max_epochs,53.890854835510254
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,31,3100,100,16,121.08144160611069,134.8356585582382,118.25611955955043,False,max_epochs,55.31902241706848
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,32,3200,100,16,121.19835045329613,135.14281885412663,118.25611955955043,False,max_epochs,56.54874634742737
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,33,3300,100,16,119.8702005103133,134.68524052357,118.25611955955043,False,max_epochs,57.752267837524414
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,34,3400,100,16,118.246380832661,131.26747471488954,118.246380832661,False,max_epochs,59.220046043395996
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,35,3500,100,16,119.94434475817206,135.75436276396846,118.246380832661,False,max_epochs,60.3941068649292
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,36,3600,100,16,118.14302593846794,134.7937286192981,118.14302593846794,False,max_epochs,61.75470328330994
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,37,3700,100,16,120.38995731898565,134.47947695960235,118.14302593846794,False,max_epochs,62.957916021347046
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,38,3800,100,16,120.71818584465538,136.3157374142105,118.14302593846794,False,max_epochs,64.30755591392517
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,39,3900,100,16,118.29709937674976,134.56667764500466,118.14302593846794,False,max_epochs,65.82662677764893
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,40,4000,100,16,118.61964478200616,130.7406709381545,118.14302593846794,False,max_epochs,67.33220410346985
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,41,4100,100,16,117.71095529893678,132.54874484270815,117.71095529893678,False,max_epochs,68.82373571395874
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,42,4200,100,16,119.37691172962244,128.17854352658924,117.71095529893678,False,max_epochs,70.16405510902405
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,43,4300,100,16,118.14979837973726,131.67472405235915,117.71095529893678,False,max_epochs,71.39503026008606
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,44,4400,100,16,117.78616410524073,127.99165022226235,117.71095529893678,False,max_epochs,72.75830078125
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,45,4500,100,16,120.62509876045047,129.39255368043115,117.71095529893678,False,max_epochs,74.09636521339417
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,46,4600,100,16,118.02029425180751,127.15000350226212,117.71095529893678,False,max_epochs,75.34894585609436
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,47,4700,100,16,119.87361286364458,131.03591682191757,117.71095529893678,False,max_epochs,76.7069764137268
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,48,4800,100,16,118.31281379057047,132.8679677345216,117.71095529893678,False,max_epochs,78.05450916290283
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,49,4900,100,16,120.91163387055427,133.81818590731916,117.71095529893678,False,max_epochs,79.65425944328308
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,50,5000,100,16,120.66413494484905,134.42199379728186,117.71095529893678,False,max_epochs,81.05559182167053
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,51,5100,100,16,118.36267818791127,134.4112682153418,117.71095529893678,False,max_epochs,82.43704915046692
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,52,5200,100,16,120.65856732159618,136.87265733066468,117.71095529893678,False,max_epochs,83.78404498100281
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,53,5300,100,16,120.71885696409804,134.7277370358653,117.71095529893678,False,max_epochs,85.14809513092041
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,54,5400,100,16,119.54894966454789,135.69281758532802,117.71095529893678,False,max_epochs,86.5388331413269
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,55,5500,100,16,120.67106075025006,135.69682968663932,117.71095529893678,False,max_epochs,88.27152347564697
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,56,5600,100,16,119.290345667392,135.35574238405016,117.71095529893678,False,max_epochs,90.83832907676697
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,57,5700,100,16,120.68442888030246,137.15057985420708,117.71095529893678,False,max_epochs,93.91004967689514
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,58,5800,100,16,119.09816100159662,140.12902508004242,117.71095529893678,False,max_epochs,97.14015626907349
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,59,5900,100,16,120.7456732977484,136.86157629122317,117.71095529893678,False,max_epochs,99.615318775177
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,60,6000,100,16,118.53078833852808,135.56180618199392,117.71095529893678,False,max_epochs,101.83475995063782
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,61,6100,100,16,121.92862802335081,133.77109615177784,117.71095529893678,False,max_epochs,103.26302766799927
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,62,6200,100,16,118.50898861847074,133.07754740348656,117.71095529893678,False,max_epochs,104.69395732879639
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,63,6300,100,16,119.06159922298775,134.83601560985096,117.71095529893678,False,max_epochs,105.8911120891571
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,64,6400,100,16,120.78840742576314,133.54594393127866,117.71095529893678,False,max_epochs,107.04103016853333
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,65,6500,100,16,118.73436870597502,134.23293458539237,117.71095529893678,False,max_epochs,108.39202332496643
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,66,6600,100,16,119.51779248257151,134.88331862819882,117.71095529893678,False,max_epochs,109.58866715431213
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,67,6700,100,16,119.60058403894503,134.14567448354296,117.71095529893678,False,max_epochs,111.08993911743164
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,68,6800,100,16,120.81099023999629,136.54062913371973,117.71095529893678,False,max_epochs,112.40219020843506
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,69,6900,100,16,118.12445248189132,133.00864153133142,117.71095529893678,False,max_epochs,113.87747693061829
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,70,7000,100,16,120.54279925225947,132.64618743227874,117.71095529893678,False,max_epochs,115.05190825462341
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,71,7100,100,16,120.02985998850454,135.0302685612528,117.71095529893678,False,max_epochs,116.61401915550232
rl4crn_rne_oscillator_trace_risk09_lr5e4_entropy01,seed002,2,72,7200,100,16,119.47603648265228,133.15891313447398,117.71095529893678,False,max_epochs,118.09146070480347
