seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far
2,seed002,False,111.61019345244594,max_epochs,1237.7091104984283,0,1
3,seed003,False,116.17405186780195,max_epochs,1237.3649702072144,0,2
1,seed001,False,49.929909976198964,max_epochs,1242.3132121562958,0,3
0,seed000,False,66.37751297102514,max_epochs,1294.2748172283173,0,4
5,seed005,True,18.57693199819667,success,930.7391440868378,1,5
6,seed006,False,111.27327413750234,max_epochs,1224.7576851844788,1,6
7,seed007,False,110.8676699580617,max_epochs,1188.9221334457397,1,7
4,seed004,False,76.91591523940748,max_epochs,1429.301084280014,1,8
8,seed008,False,41.07220572363929,max_epochs,1286.7164273262024,1,9
9,seed009,False,88.14757691932503,max_epochs,1203.5467405319214,1,10
10,seed010,False,111.32099619198691,max_epochs,1189.8237578868866,1,11
11,seed011,False,101.94050594516689,max_epochs,1211.9431924819946,1,12
12,seed012,False,110.86860432355765,max_epochs,1264.7346532344818,1,13
