seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
7,seed007,True,18.926331295204747,success,1393.6984703540802,1,1,seed007,True,True,True,False,False,True,
19,seed019,True,11.877702110609128,success,1571.7522127628326,2,2,seed019,True,True,True,False,False,True,
8,seed008,True,16.352948207939384,success,1827.5612711906435,3,3,seed008,True,True,True,False,False,True,
15,seed015,True,12.544681871034369,success,1835.2280449867249,4,4,seed015,True,True,True,False,False,True,
5,seed005,True,19.830519662370705,success,2705.950015068054,5,5,seed005,True,True,False,False,False,False,
10,seed010,True,9.844267403786832,success,3402.3094108104706,6,6,seed010,True,True,False,False,False,False,
18,seed018,True,9.243417272731234,success,3674.6897311210632,7,7,seed018,True,True,False,False,False,False,
25,seed025,True,16.90268944549483,success,1176.826444864273,8,8,seed025,True,True,False,False,False,False,
6,seed006,True,18.00027922251714,success,4648.260093927383,9,9,seed006,True,True,True,False,False,True,
2,seed002,True,19.596176742222013,success,4779.3540625572205,10,10,seed002,True,True,False,False,False,False,
26,seed026,True,19.391154087236337,success,2021.6741347312927,11,11,seed026,True,True,False,False,False,False,
24,seed024,True,13.963917767217843,success,3279.572477579117,12,12,seed024,True,True,True,False,False,True,
21,seed021,True,12.839236764212194,success,4529.750417232513,13,13,seed021,True,True,False,True,True,True,
4,seed004,False,105.08260793898852,max_epochs,6709.845990180969,13,14,seed004,False,True,False,False,False,False,
13,seed013,False,32.91189112569199,max_epochs,6708.764919519424,13,15,seed013,False,True,True,False,False,True,
1,seed001,False,110.8193280901932,max_epochs,6715.450539588928,13,16,seed001,False,True,False,False,False,False,
16,seed016,False,104.99673794299449,max_epochs,6718.164190292358,13,17,seed016,False,True,False,False,False,False,
12,seed012,False,110.64969498134154,max_epochs,6727.945410728455,13,18,seed012,False,True,False,False,False,False,
0,seed000,False,110.82858829665068,max_epochs,6790.529700517654,13,19,seed000,False,True,False,False,False,False,
17,seed017,False,105.87035023892356,max_epochs,6798.549321889877,13,20,seed017,False,True,False,False,False,False,
9,seed009,False,69.17190142602261,max_epochs,6834.60661315918,13,21,seed009,False,True,False,False,False,False,
11,seed011,False,66.93948239738602,max_epochs,6927.06204867363,13,22,seed011,False,True,False,False,False,False,
3,seed003,False,23.517702204119587,max_epochs,7320.481619119644,13,23,seed003,False,True,False,False,False,False,
30,seed030,True,19.63439679592167,success,1604.6933872699738,14,24,seed030,True,True,True,False,False,True,
14,seed014,False,21.599580248956286,max_epochs,7422.713124275207,14,25,seed014,False,True,True,False,False,True,
27,seed027,True,12.968932892682949,success,2994.1344561576843,15,26,seed027,True,True,False,False,False,False,
37,seed037,True,19.19164876613993,success,1180.556188583374,16,27,seed037,True,True,True,False,False,True,
39,seed039,True,19.42430664934558,success,1185.7816941738129,17,28,seed039,True,True,True,False,False,True,
20,seed020,False,110.5475172364222,max_epochs,6768.305720329285,17,29,seed020,False,True,False,False,False,False,
35,seed035,True,9.145097852405334,success,1456.9192130565643,18,30,seed035,True,True,False,False,False,False,
29,seed029,True,17.544443538662925,success,3665.581384897232,19,31,seed029,True,True,False,False,False,False,
23,seed023,False,108.74726877742144,max_epochs,6719.542896986008,19,32,seed023,False,True,False,False,False,False,
42,seed042,True,4.239059290816615,success,1421.8478016853333,20,33,seed042,True,True,True,False,False,True,
22,seed022,False,108.56737514697404,max_epochs,6944.017451524735,20,34,seed022,False,True,False,False,False,False,
45,seed045,True,18.524937083314363,success,1215.791838645935,21,35,seed045,True,True,True,False,False,True,
53,seed053,True,10.105265400957633,success,1126.310467004776,22,36,seed053,True,True,True,False,False,True,
50,seed050,True,16.515356782846407,success,1470.2784445285797,23,37,seed050,True,True,False,False,False,False,
41,seed041,True,18.82730974025196,success,3263.338372945785,24,38,seed041,True,True,False,False,False,False,
33,seed033,True,19.517485227583613,success,3916.374900579453,25,39,seed033,True,True,True,False,False,True,
43,seed043,True,16.385733156404463,success,4494.492569923401,26,40,seed043,True,True,False,False,False,False,
28,seed028,False,20.563293935274245,max_epochs,7283.913868188858,26,41,seed028,False,True,True,False,False,True,
47,seed047,True,19.011499999762343,success,4134.1882293224335,27,42,seed047,True,True,False,False,False,False,
36,seed036,True,17.572575308207934,success,5932.143273353577,28,43,seed036,True,True,True,False,False,True,
31,seed031,False,109.6809162190862,max_epochs,6675.874241352081,28,44,seed031,False,True,False,False,False,False,
32,seed032,False,110.73371153824571,max_epochs,6756.426145792007,28,45,seed032,False,True,False,False,False,False,
