setting,seed_label,best_loss,hit_epoch,hit_candidate_evaluations,hit_loss
B=100,seed000,4.413352438533215,426.0,42600.0,4.413352438533215
B=100,seed003,18.29015763574084,299.0,29900.0,18.290157635740837
B=100,seed004,15.792767469071752,457.0,45700.0,15.792767469071752
B=100,seed011,19.854646256487896,625.0,62500.0,19.854646256487896
B=100,seed013,14.556121782785668,258.0,25800.0,14.556121782785668
B=100,seed014,13.751165216342828,230.0,23000.0,13.751165216342828
B=100,seed017,14.03801968344522,224.0,22400.0,14.03801968344522
B=100,seed020,15.14054107848314,588.0,58800.0,15.14054107848314
B=100,seed022,19.663129950878947,354.0,35400.0,19.663129950878947
B=100,seed024,19.35762859678083,593.0,59300.0,19.35762859678083
B=100,seed026,16.40717593521643,544.0,54400.0,16.40717593521643
B=100,seed028,19.76569246900376,460.0,46000.0,19.765692469003756
B=100,seed029,19.25471757065913,493.0,49300.0,19.25471757065913
B=100,seed030,10.95318624620611,317.0,31700.0,10.95318624620611
B=100,seed033,18.48999576678112,715.0,71500.0,18.48999576678112
B=100,seed034,17.401820902096507,199.0,19900.0,17.401820902096507
B=100,seed035,17.072441287560686,170.0,17000.0,17.072441287560686
B=100,seed037,15.35232064418472,195.0,19500.0,15.35232064418472
B=100,seed038,18.63624070731948,456.0,45600.0,18.636240707319477
B=100,seed042,13.018393082149752,140.0,14000.0,13.018393082149752
B=100,seed043,19.68144833751777,525.0,52500.0,19.68144833751777
B=100,seed045,18.188691560844816,318.0,31800.0,18.188691560844816
B=100,seed047,18.36077412935442,425.0,42500.0,18.36077412935442
B=100,seed050,11.970934971479636,178.0,17800.0,11.970934971479636
B=100,seed051,19.844991790167025,498.0,49800.0,19.844991790167025
B=100,seed054,13.431077487602716,187.0,18700.0,13.431077487602716
B=100,seed055,16.477357336478274,508.0,50800.0,16.477357336478274
B=100,seed056,17.173209524760146,197.0,19700.0,17.173209524760146
B=100,seed057,14.642067565848148,557.0,55700.0,14.642067565848148
B=100,seed060,11.93486246111047,160.0,16000.0,11.93486246111047
B=100,seed062,18.88577227857049,476.0,47600.0,18.88577227857049
B=100,seed063,11.444898847374478,154.0,15400.0,11.444898847374478
B=100,seed066,19.85163540614832,568.0,56800.0,19.85163540614832
B=100,seed067,18.366770932229155,736.0,73600.0,18.366770932229155
B=100,seed068,19.88240139317981,773.0,77300.0,19.88240139317981
B=100,seed069,7.911126571250549,360.0,36000.0,7.911126571250549
B=100,seed071,15.261307110194029,198.0,19800.0,15.261307110194029
B=100,seed073,12.512011085545712,187.0,18700.0,12.512011085545712
B=100,seed080,15.478529830147815,288.0,28800.0,15.478529830147815
B=100,seed082,15.772735734910132,165.0,16500.0,15.772735734910132
B=100,seed083,17.846604154042126,224.0,22400.0,17.846604154042126
B=100,seed085,16.896411563100514,755.0,75500.0,16.896411563100514
B=100,seed087,15.056890104150051,198.0,19800.0,15.056890104150051
B=100,seed089,19.15819429971699,469.0,46900.0,19.15819429971699
B=100,seed097,18.31807739151194,322.0,32200.0,18.31807739151194
B=100,seed102,19.18128944024745,630.0,63000.0,19.18128944024745
B=100,seed103,19.8061026345698,571.0,57100.0,19.8061026345698
B=100,seed104,18.824905907428,288.0,28800.0,18.824905907428
B=100,seed105,19.118279819768205,244.0,24400.0,19.118279819768205
B=100,seed112,11.649539116626997,753.0,75300.0,11.649539116626997
B=100,seed115,16.036817014943136,200.0,20000.0,16.036817014943136
B=100,seed118,7.6522597881026515,170.0,17000.0,7.6522597881026515
B=100,seed120,12.976203542498414,235.0,23500.0,12.976203542498414
B=100,seed121,16.97403477123957,160.0,16000.0,16.97403477123957
B=100,seed126,12.925654388688429,139.0,13900.0,12.925654388688429
B=100,seed129,11.215635559967886,353.0,35300.0,11.215635559967886
B=100,seed131,19.68861741583797,794.0,79400.0,19.68861741583797
B=100,seed132,19.907518151015424,187.0,18700.0,19.907518151015424
B=100,seed138,14.122974098960745,140.0,14000.0,14.122974098960745
B=100,seed142,12.419940811489786,261.0,26100.0,12.419940811489786
B=100,seed145,6.921361483485553,647.0,64700.0,6.921361483485553
B=100,seed155,15.509906763542936,438.0,43800.0,15.509906763542936
B=100,seed156,19.863541518395664,535.0,53500.0,19.863541518395664
B=100,seed161,12.93565012814216,265.0,26500.0,12.93565012814216
B=100,seed166,16.01564607711383,286.0,28600.0,16.01564607711383
B=100,seed170,19.29169237716575,315.0,31500.0,19.29169237716575
B=100,seed171,15.625883647015442,426.0,42600.0,15.625883647015442
B=100,seed173,15.417893950911832,517.0,51700.0,15.417893950911832
B=100,seed175,13.078836160968905,323.0,32300.0,13.078836160968905
B=100,seed176,11.260786732036344,264.0,26400.0,11.260786732036344
B=100,seed178,12.727280166728097,216.0,21600.0,12.727280166728097
B=100,seed184,19.88175797108237,387.0,38700.0,19.88175797108237
B=100,seed187,19.68821106277208,734.0,73400.0,19.688211062772076
B=100,seed192,16.595201456795742,380.0,38000.0,16.595201456795742
B=100,seed196,13.311365160411274,359.0,35900.0,13.311365160411274
B=100,seed197,19.17546034564544,458.0,45800.0,19.17546034564544
B=100,seed199,19.318698604192488,126.0,12600.0,19.318698604192488
B=100,seed200,19.23953071645014,329.0,32900.0,19.23953071645014
B=100,seed203,18.19181365234573,398.0,39800.0,18.19181365234573
B=100,seed207,17.00071763513393,289.0,28900.0,17.00071763513393
B=100,seed208,13.955587075621814,765.0,76500.0,13.955587075621814
B=100,seed211,8.36465351812518,576.0,57600.0,8.36465351812518
B=100,seed212,15.252024034990576,166.0,16600.0,15.252024034990576
B=100,seed214,18.710299824548056,213.0,21300.0,18.710299824548056
B=100,seed217,17.847079193721257,306.0,30600.0,17.847079193721257
B=100,seed220,19.983196731545185,339.0,33900.0,19.983196731545185
B=100,seed222,17.6171692653593,145.0,14500.0,17.6171692653593
B=100,seed224,19.764622988132537,196.0,19600.0,19.764622988132537
B=100,seed226,13.683815209243823,269.0,26900.0,13.683815209243823
B=100,seed228,12.239438859676197,354.0,35400.0,12.239438859676197
B=100,seed229,14.22793790615628,245.0,24500.0,14.22793790615628
B=100,seed230,4.54095058774636,188.0,18800.0,4.54095058774636
B=100,seed233,17.147026133868234,492.0,49200.0,17.147026133868234
B=100,seed236,19.86159207142844,434.0,43400.0,19.86159207142844
B=100,seed238,18.01630461877473,418.0,41800.0,18.01630461877473
B=100,seed241,19.69566146100661,215.0,21500.0,19.69566146100661
B=100,seed242,18.673022433454136,179.0,17900.0,18.673022433454136
B=100,seed243,18.229247649438083,159.0,15900.0,18.229247649438083
B=100,seed247,19.835804134242327,628.0,62800.0,19.835804134242327
B=100,seed249,16.78395711880758,325.0,32500.0,16.78395711880758
B=100,seed251,13.908724719319014,169.0,16900.0,13.908724719319014
B=100,seed252,17.555525447863758,281.0,28100.0,17.555525447863758
B=100,seed253,18.61291203976722,437.0,43700.0,18.61291203976722
B=100,seed254,9.76443470845565,194.0,19400.0,9.76443470845565
B=100,seed255,15.93230287762901,495.0,49500.0,15.93230287762901
B=100,seed257,19.017657772146293,679.0,67900.0,19.017657772146293
B=100,seed258,18.20029045694355,210.0,21000.0,18.20029045694355
B=100,seed266,19.98444590735185,368.0,36800.0,19.98444590735185
B=100,seed269,18.944830139167703,197.0,19700.0,18.944830139167703
B=100,seed273,13.749985846519364,356.0,35600.0,13.749985846519364
B=100,seed274,10.368754052963094,168.0,16800.0,10.368754052963094
B=100,seed277,13.01608046345126,605.0,60500.0,13.01608046345126
B=100,seed278,12.68020738221446,242.0,24200.0,12.68020738221446
B=100,seed281,16.85459026608493,409.0,40900.0,16.85459026608493
B=100,seed282,15.811536369156638,500.0,50000.0,15.811536369156638
B=100,seed283,16.622599719969433,177.0,17700.0,16.622599719969433
B=100,seed287,15.864589282594087,290.0,29000.0,15.864589282594087
B=100,seed289,16.20544224965714,414.0,41400.0,16.20544224965714
B=100,seed290,9.648189938694443,626.0,62600.0,9.648189938694443
B=100,seed291,16.421526355299626,186.0,18600.0,16.421526355299626
B=100,seed297,12.629977680902028,267.0,26700.0,12.629977680902028
B=100,seed298,10.421034731271703,592.0,59200.0,10.421034731271703
B=100,seed299,7.202604856857569,213.0,21300.0,7.202604856857569
B=100,seed300,17.819267297135,157.0,15700.0,17.819267297135
B=100,seed301,19.532726101332244,238.0,23800.0,19.532726101332244
B=100,seed302,14.830134182003246,403.0,40300.0,14.830134182003246
B=100,seed303,17.601683442518386,321.0,32100.0,17.601683442518386
B=100,seed305,19.40381307458733,180.0,18000.0,19.40381307458733
B=100,seed310,17.545856047298695,232.0,23200.0,17.545856047298695
B=100,seed312,5.312473602400877,713.0,71300.0,5.312473602400877
B=100,seed314,17.684945562980158,431.0,43100.0,17.684945562980158
B=100,seed324,16.10807478854742,723.0,72300.0,16.10807478854742
B=100,seed329,16.63681128886115,333.0,33300.0,16.63681128886115
B=100,seed335,14.430991139306856,239.0,23900.0,14.430991139306856
B=100,seed337,19.73471192178549,394.0,39400.0,19.73471192178549
B=100,seed340,19.40608074692153,359.0,35900.0,19.40608074692153
B=100,seed345,19.90137392712248,308.0,30800.0,19.90137392712248
B=100,seed346,19.44803315469638,243.0,24300.0,19.44803315469638
B=100,seed347,17.178520584272384,670.0,67000.0,17.178520584272384
