n_species,m_reactions,total_crns,reactant_pattern_candidate_crns,current_mode,additional_crns_for_exact,current_samples
2,2,435,100,exact,0,0
2,3,4060,2150,exact,0,0
2,4,27405,20675,exact,0,0
2,5,142506,126250,exact,0,0
3,2,4005,405,exact,0,0
3,3,117480,30942,exact,0,0
3,4,2555190,1127223,exact,0,0
3,5,43949268,26448876,exact,0,0
4,2,21945,1176,exact,0,0
4,3,1521520,223832,exact,0,0
4,4,78738660,20773158,sample,78738660,200000
4,5,3244032792,1258900944,sample,3244032792,200000
5,2,87990,2800,exact,0,0
5,3,12259940,1101200,exact,0,0
5,4,1278098745,213319900,sample,1278098745,200000
5,5,106337815584,27189583000,sample,106337815584,200000
