n_species,m_reactions,n_complexes,n_directed_reactions,total_crns,mode,samples,seed,maxrpa_count,denominator,fraction,standard_error,ci_method,ci_low,ci_high,ci_low_percent,ci_high_percent,ci_half_width,ci_half_width_percent
2,2,6,30,435,exact,,,87,435,0.2,0.0,exact,0.2,0.2,20.0,20.0,0.0,0.0
2,3,6,30,4060,exact,,,906,4060,0.2231527093596059,0.0,exact,0.2231527093596059,0.2231527093596059,22.31527093596059,22.31527093596059,0.0,0.0
2,4,6,30,27405,exact,,,2409,27405,0.08790366721401204,0.0,exact,0.08790366721401204,0.08790366721401204,8.790366721401204,8.790366721401204,0.0,0.0
2,5,6,30,142506,exact,,,4592,142506,0.03222320463699774,0.0,exact,0.03222320463699774,0.03222320463699774,3.2223204636997735,3.2223204636997735,0.0,0.0
2,6,6,30,593775,exact,,,5740,593775,0.009666961391099321,0.0,exact,0.009666961391099321,0.009666961391099321,0.9666961391099321,0.9666961391099321,0.0,0.0
2,7,6,30,2035800,exact,,,4592,2035800,0.002255624324589842,0.0,exact,0.002255624324589842,0.002255624324589842,0.2255624324589842,0.2255624324589842,0.0,0.0
2,8,6,30,5852925,exact,,,2296,5852925,0.00039228249123301594,0.0,exact,0.00039228249123301594,0.00039228249123301594,0.0392282491233016,0.0392282491233016,0.0,0.0
2,9,6,30,14307150,exact,,,656,14307150,4.585120027398888e-05,0.0,exact,4.585120027398888e-05,4.585120027398888e-05,0.004585120027398888,0.004585120027398888,0.0,0.0
2,10,6,30,30045015,sample,200000,2010,0,200000,0.0,0.0,wilson_95,0.0,1.92076310598226e-05,0.0,0.00192076310598226,9.6038155299113e-06,0.00096038155299113
3,2,10,90,4005,exact,,,166,4005,0.0414481897627965,0.0,exact,0.0414481897627965,0.0414481897627965,4.14481897627965,4.14481897627965,0.0,0.0
3,3,10,90,117480,exact,,,22406,117480,0.1907218249914879,0.0,exact,0.1907218249914879,0.1907218249914879,19.07218249914879,19.07218249914879,0.0,0.0
3,4,10,90,2555190,exact,,,407624,2555190,0.15952786289864943,0.0,exact,0.15952786289864943,0.15952786289864943,15.952786289864942,15.952786289864942,0.0,0.0
3,5,10,90,43949268,sample,200000,3005,14571,200000,0.072855,0.0005811503633957394,wilson_95,0.07172413112303654,0.07400227776410155,7.172413112303653,7.400227776410155,0.0011390733205325076,0.11390733205325076
3,6,10,90,622614630,sample,200000,3006,6648,200000,0.03324,0.0004008435006333519,wilson_95,0.032463268485775555,0.034034662221971414,3.2463268485775556,3.4034662221971415,0.0007856968680979293,0.07856968680979293
3,7,10,90,7471375560,sample,200000,3007,3062,200000,0.01531,0.0002745505773077157,wilson_95,0.014781115256668238,0.015857504236728534,1.4781115256668238,1.5857504236728535,0.0005381944900301481,0.0538194490030148
3,8,10,90,77515521435,sample,200000,3008,1435,200000,0.007175,0.00018872624850560667,wilson_95,0.006814445005192739,0.007554486996361373,0.681444500519274,0.7554486996361373,0.0003700209955843168,0.03700209955843168
3,9,10,90,706252528630,sample,200000,3009,636,200000,0.00318,0.00012589455111322335,wilson_95,0.002942607328085051,0.0034364781424412304,0.2942607328085051,0.34364781424412305,0.00024693540717808963,0.024693540717808965
3,10,10,90,5720645481903,sample,200000,3010,251,200000,0.001255,7.916517463506286e-05,wilson_95,0.001109122013701669,0.0014200374062041932,0.11091220137016691,0.14200374062041932,0.00015545769625126206,0.015545769625126205
4,2,15,210,21945,exact,,,245,21945,0.011164274322169059,0.0,exact,0.011164274322169059,0.011164274322169059,1.1164274322169059,1.1164274322169059,0.0,0.0
4,3,15,210,1521520,exact,,,64500,1521520,0.04239181870760818,0.0,exact,0.04239181870760818,0.04239181870760818,4.2391818707608175,4.2391818707608175,0.0,0.0
4,4,15,210,78738660,sample,200000,4004,33964,200000,0.16982,0.0008395867066598899,wilson_95,0.16818075561377577,0.17147192833747082,16.818075561377576,17.147192833747084,0.0016455863618475286,0.16455863618475286
4,5,15,210,3244032792,sample,200000,4005,26238,200000,0.13119,0.0007549145113852296,wilson_95,0.12971744877642988,0.13267671915639245,12.971744877642987,13.267671915639244,0.0014796351899812876,0.14796351899812876
4,6,15,210,110837787060,sample,200000,4006,12272,200000,0.06136,0.0005366327906492483,wilson_95,0.06031660132284758,0.062420249147728576,6.031660132284758,6.242024914772857,0.0010518239124404985,0.10518239124404985
4,7,15,210,3230129794320,sample,200000,4007,5895,200000,0.029475,0.00037819455558614273,wilson_95,0.02874272836720977,0.03022534697399907,2.8742728367209773,3.022534697399907,0.0007413093033946487,0.07413093033946487
4,8,15,210,81964543530870,sample,200000,4008,2897,200000,0.014485,0.00026716272920263414,wilson_95,0.013970608637803814,0.0150180425481842,1.3970608637803814,1.50180425481842,0.000523716955190193,0.0523716955190193
4,9,15,210,1839648643692860,sample,200000,4009,1546,200000,0.00773,0.00019583471474690078,wilson_95,0.007355506542003216,0.00812340413908042,0.7355506542003216,0.812340413908042,0.00038394879853860184,0.038394879853860184
4,10,15,210,36976937738226486,sample,200000,4010,889,200000,0.004445,0.0001487488147011599,wilson_95,0.004162818221873259,0.00474621865334644,0.4162818221873259,0.474621865334644,0.0002917002157365907,0.02917002157365907
5,2,21,420,87990,exact,,,324,87990,0.003682236617797477,0.0,exact,0.003682236617797477,0.003682236617797477,0.3682236617797477,0.3682236617797477,0.0,0.0
5,3,21,420,12259940,exact,,,127188,12259940,0.010374275893683003,0.0,exact,0.010374275893683003,0.010374275893683003,1.0374275893683003,1.0374275893683003,0.0,0.0
5,4,21,420,1278098745,sample,200000,5004,8031,200000,0.040155,0.00043899075146863856,wilson_95,0.03930337358982849,0.04102429147638093,3.9303373589828485,4.102429147638094,0.0008604589432762225,0.08604589432762225
5,5,21,420,106337815584,sample,200000,5005,30442,200000,0.15221,0.0008032500105820105,wilson_95,0.15064231114877344,0.15379104929523915,15.064231114877344,15.379104929523916,0.0015743690732328564,0.15743690732328564
5,6,21,420,7355032244560,sample,200000,5006,22837,200000,0.114185,0.0007111497232475029,wilson_95,0.11279855082127872,0.11558627036307594,11.279855082127872,11.558627036307593,0.0013938597708986061,0.1393859770898606
5,7,21,420,434997621321120,sample,200000,5007,10634,200000,0.05317,0.00050171182515464,wilson_95,0.052195199359391826,0.05416196573218109,5.219519935939183,5.41619657321811,0.0009833831863946332,0.09833831863946332
5,8,21,420,22456752200702820,sample,200000,5008,5152,200000,0.02576,0.00035423454377008466,wilson_95,0.02507475623711804,0.026463461816789578,2.507475623711804,2.646346181678958,0.0006943527898357685,0.06943527898357685
5,9,21,420,1028020211854395760,sample,200000,5009,2631,200000,0.013155,0.00025477387989156187,wilson_95,0.012664911580708439,0.013663790697578197,1.2664911580708438,1.3663790697578198,0.000499439558434879,0.0499439558434879
5,10,21,420,42251630707215665736,sample,200000,5010,1419,200000,0.007095,0.00018767872781697985,wilson_95,0.006736498947405305,0.007472436127369776,0.6736498947405305,0.7472436127369776,0.0003679685899822356,0.03679685899822356
