crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
0,0,300,0 -> X5,X1 -> 0,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 0)",0->300;300->0,2,5,rank(S) <= m = 2 < n = 5
1,0,301,0 -> X5,X1 -> X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 1)",0->301;301->0,2,5,rank(S) <= m = 2 < n = 5
2,0,302,0 -> X5,X1 -> 2X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 2)",0->302;302->0,2,5,rank(S) <= m = 2 < n = 5
3,0,303,0 -> X5,X1 -> X4,"(0, 0, 0, 0, 1)","(-1, 0, 0, 1, 0)",0->303;303->0,2,5,rank(S) <= m = 2 < n = 5
4,0,304,0 -> X5,X1 -> X4+X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, 1, 1)",0->304;304->0,2,5,rank(S) <= m = 2 < n = 5
5,0,305,0 -> X5,X1 -> 2X4,"(0, 0, 0, 0, 1)","(-1, 0, 0, 2, 0)",0->305;305->0,2,5,rank(S) <= m = 2 < n = 5
6,0,306,0 -> X5,X1 -> X3,"(0, 0, 0, 0, 1)","(-1, 0, 1, 0, 0)",0->306;306->0,2,5,rank(S) <= m = 2 < n = 5
7,0,307,0 -> X5,X1 -> X3+X5,"(0, 0, 0, 0, 1)","(-1, 0, 1, 0, 1)",0->307;307->0,2,5,rank(S) <= m = 2 < n = 5
8,0,308,0 -> X5,X1 -> X3+X4,"(0, 0, 0, 0, 1)","(-1, 0, 1, 1, 0)",0->308;308->0,2,5,rank(S) <= m = 2 < n = 5
9,0,309,0 -> X5,X1 -> 2X3,"(0, 0, 0, 0, 1)","(-1, 0, 2, 0, 0)",0->309;309->0,2,5,rank(S) <= m = 2 < n = 5
10,0,310,0 -> X5,X1 -> X2,"(0, 0, 0, 0, 1)","(-1, 1, 0, 0, 0)",0->310;310->0,2,5,rank(S) <= m = 2 < n = 5
11,0,311,0 -> X5,X1 -> X2+X5,"(0, 0, 0, 0, 1)","(-1, 1, 0, 0, 1)",0->311;311->0,2,5,rank(S) <= m = 2 < n = 5
12,0,312,0 -> X5,X1 -> X2+X4,"(0, 0, 0, 0, 1)","(-1, 1, 0, 1, 0)",0->312;312->0,2,5,rank(S) <= m = 2 < n = 5
13,0,313,0 -> X5,X1 -> X2+X3,"(0, 0, 0, 0, 1)","(-1, 1, 1, 0, 0)",0->313;313->0,2,5,rank(S) <= m = 2 < n = 5
14,0,314,0 -> X5,X1 -> 2X2,"(0, 0, 0, 0, 1)","(-1, 2, 0, 0, 0)",0->314;314->0,2,5,rank(S) <= m = 2 < n = 5
15,0,316,0 -> X5,X1 -> X1+X4,"(0, 0, 0, 0, 1)","(0, 0, 0, 1, 0)",0->316;316->0,2,5,rank(S) <= m = 2 < n = 5
16,0,317,0 -> X5,X1 -> X1+X3,"(0, 0, 0, 0, 1)","(0, 0, 1, 0, 0)",0->317;317->0,2,5,rank(S) <= m = 2 < n = 5
17,0,318,0 -> X5,X1 -> X1+X2,"(0, 0, 0, 0, 1)","(0, 1, 0, 0, 0)",0->318;318->0,2,5,rank(S) <= m = 2 < n = 5
18,0,319,0 -> X5,X1 -> 2X1,"(0, 0, 0, 0, 1)","(1, 0, 0, 0, 0)",0->319;319->0,2,5,rank(S) <= m = 2 < n = 5
19,0,400,0 -> X5,2X1 -> 0,"(0, 0, 0, 0, 1)","(-2, 0, 0, 0, 0)",0->400;400->0,2,5,rank(S) <= m = 2 < n = 5
20,0,401,0 -> X5,2X1 -> X5,"(0, 0, 0, 0, 1)","(-2, 0, 0, 0, 1)",0->401;401->0,2,5,rank(S) <= m = 2 < n = 5
21,0,402,0 -> X5,2X1 -> 2X5,"(0, 0, 0, 0, 1)","(-2, 0, 0, 0, 2)",0->402;402->0,2,5,rank(S) <= m = 2 < n = 5
22,0,403,0 -> X5,2X1 -> X4,"(0, 0, 0, 0, 1)","(-2, 0, 0, 1, 0)",0->403;403->0,2,5,rank(S) <= m = 2 < n = 5
